"","player","i","X1","rk","pos","age","tm.x","g","gs","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp","tm.y","avg_salary"
"3999","Samardo Samuels",2012,15843,377,"C",23,"CLE",54,0,15.3,1.9,4.3,0.455,0,0,NA,1.9,4.3,0.455,0.455,1.5,2.2,0.701,1.2,2.2,0.4,0.4,0.4,1,2.1,5.4,825,11.1,0.517,0,0.506,8.4,16.8,4.2,1.3,1.8,16.5,18.4,0.2,0.5,0.7,0.039,-4.1,-1.4,-0.7,"CLE",7666667
"4000","Samuel Dalembert",2012,15531,103,"C",30,"HOU",65,45,22.2,3.1,6.1,0.506,0,0,0,3.1,6.1,0.508,0.506,1.4,1.7,0.796,2.4,4.6,0.5,0.6,1.7,1.3,2.5,7.5,1446,16.9,0.551,0.003,0.286,12.6,24.1,3.6,1.3,5.7,15.6,16.6,1.8,2.3,4.1,0.137,-2.1,2.4,0.8,"HOU",6849283
"4001","Samuel Dalembert",2013,16092,98,"C",31,"MIL",47,23,16.3,2.9,5.4,0.542,0,0,1,2.9,5.4,0.54,0.543,0.8,1.2,0.691,2.2,3.6,0.4,0.4,1.1,1.1,1.9,6.7,765,18.6,0.565,0.004,0.217,14.2,24.9,4.5,1.1,5.1,15.5,18.7,0.9,1.2,2.2,0.137,-2.3,1,0.1,"MIL",6849283
"4002","Samuel Dalembert",2014,16697,112,"C",32,"DAL",80,68,20.2,2.7,4.7,0.568,0,0,0,2.7,4.7,0.569,0.568,1.3,1.7,0.737,2.5,4.3,0.5,0.5,1.2,1.1,2.6,6.6,1614,16.8,0.605,0.003,0.363,14.4,24.2,3.4,1.3,4.8,17.1,14.8,2.9,2.1,4.9,0.147,-0.9,1.5,1.1,"DAL",3784015
"4003","Sasha Kaun",2016,18109,247,"C",30,"CLE",25,0,3.8,0.4,0.7,0.529,0,0,NA,0.4,0.7,0.529,0.529,0.2,0.4,0.455,0.5,0.6,0.1,0.2,0.2,0.3,0.4,0.9,95,12.5,0.527,0,0.647,14.4,16.5,4.5,2.2,4.3,24.3,13.7,0,0.2,0.2,0.096,-3.5,2.7,0,"CLE",1304710
"4004","Sasha Pavlovic",2012,15815,349,"SF",28,"BOS",45,7,11.7,1.1,2.8,0.391,0.4,1.3,0.293,0.7,1.6,0.471,0.457,0.1,0.2,0.375,0.1,1.5,0.4,0.4,0.3,0.4,1.2,2.7,527,6.7,0.456,0.453,0.063,0.9,14.5,5.3,2,2.2,13.2,13.8,-0.6,1,0.4,0.039,-4.5,1.9,-0.1,"BOS",1223166
"4005","Sasha Pavlovic",2013,16384,335,"SG",29,"POR",39,1,13.5,1.1,3.1,0.353,0.5,1.5,0.3,0.6,1.5,0.407,0.429,0,0.2,0.167,0.2,1.3,0.8,0.6,0.1,0.4,1.5,2.6,528,6.2,0.423,0.504,0.05,1.5,10.9,8.9,2.4,0.7,10.3,11.8,-0.3,0.4,0.1,0.009,-3.3,0.2,-0.1,"POR",1360237
"4006","Sasha Vujacic",2014,17124,449,"SG",29,"LAC",2,0,5,1,2.5,0.4,0.5,1,0.5,0.5,1.5,0.333,0.5,0,0,NA,0,1.5,0,0.5,0,1.5,0.5,2.5,10,1.5,0.5,0.4,0,0,32.2,0,5,0,37.5,35.3,-0.1,0,-0.1,-0.289,-16.7,-3.4,0,"LAC",6979
"4007","Sasha Vujacic",2016,18350,442,"SG",31,"NYK",61,25,14.9,1.7,4.5,0.383,0.9,2.3,0.364,0.9,2.2,0.403,0.477,0.5,0.6,0.821,0.4,2,1.4,0.6,0.1,0.7,1.4,4.9,908,11.1,0.503,0.516,0.141,3.2,14.6,14.3,1.9,0.4,13,16.8,0.3,0.8,1.1,0.06,-0.8,-0.7,0.1,"NYK",1356146
"4008","Sasha Vujacic",2017,18935,448,"SG",32,"NYK",42,4,9.7,1,3.2,0.309,0.5,1.8,0.311,0.5,1.5,0.306,0.393,0.4,0.6,0.708,0.3,1.1,1.2,0.3,0,0.4,0.9,3,408,8.6,0.423,0.544,0.176,3.2,12.4,17.9,1.6,0.4,9.8,17.3,-0.1,0.2,0.1,0.014,-2.1,-2.2,-0.2,"NYK",1410598
