"","fix","Player","Pos","G","Tm","Age","GS","MP.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","MP.y","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","last.name","average.salary"
"312","ottoporter","Otto Porter\porteot01","SF",74,"WAS",21,13,19.4,2.4,5.3,0.45,0.5,1.4,0.337,1.9,3.9,0.491,0.495,0.8,1.1,0.734,0.9,2,3,0.9,0.6,0.4,0.7,1.3,6,1432,11.6,0.523,0.266,0.202,5.6,11.6,8.7,6.8,1.6,1.7,10.9,15.1,1,1.8,2.7,0.092,-1.4,0.9,-0.4,0.6,"PorterJr.",4826355
"313","pabloprigioni","Pablo Prigioni\prigipa01","PG",67,"TOT",37,3,17.9,1.4,3.4,0.399,0.9,2.5,0.343,0.5,0.9,0.548,0.524,0.5,0.6,0.854,0.4,1.3,1.8,2.6,1.2,0,0.9,1.3,4.1,1197,12.2,0.557,0.728,0.18,2.8,8.6,5.7,21.5,3.4,0.1,20.1,11.6,1.3,1,2.3,0.092,0,-0.5,-0.5,0.5,"Prigioni",981348
"314","patrickbeverley","Patrick Beverley\beverpa01","PG",56,"HOU",26,55,30.8,3.6,9.5,0.383,2.1,5.8,0.356,1.6,3.7,0.426,0.492,0.8,1.1,0.75,1.2,3,4.2,3.4,1.1,0.4,1.5,3.3,10.1,1727,11.3,0.509,0.607,0.113,4.3,10.8,7.6,17.2,1.7,1,12.9,16.1,1.7,1.8,3.5,0.096,0.5,0.3,0.8,1.2,"Beverley",5756757
"315","patrickpatterson","Patrick Patterson\pattepa01","PF",81,"TOR",25,4,26.6,3,6.6,0.449,1.3,3.5,0.371,1.7,3.1,0.536,0.547,0.8,1,0.788,1.6,3.8,5.3,1.9,0.7,0.5,0.7,1.8,8,2156,14.6,0.568,0.529,0.15,6.8,16.3,11.6,10.7,1.4,1.6,8.7,13.1,4.4,1.7,6.1,0.137,2.5,0.7,3.2,2.8,"Patterson",6050000
"316","paugasol","Pau Gasol\gasolpa01","PF",78,"CHI",34,78,34.4,7.3,14.8,0.494,0.2,0.3,0.462,7.2,14.4,0.495,0.5,3.8,4.7,0.803,2.8,9,11.8,2.7,0.3,1.9,2,1.9,18.5,2681,22.7,0.55,0.023,0.317,9.2,27.6,18.6,14.4,0.5,4,10.7,24.7,6,4.4,10.4,0.187,0.7,2.1,2.8,3.2,"Gasol",7448760
"317","paulgeorge","Paul George\georgpa01","SF",6,"IND",24,0,15.2,3,8.2,0.367,1.5,3.7,0.409,1.5,4.5,0.333,0.459,1.3,1.8,0.727,0.7,3,3.7,1,0.8,0.2,2,1.8,8.8,91,13,0.492,0.449,0.224,4.9,21.7,13.4,11.8,2.8,0.9,18.2,32.8,-0.2,0.2,0,-0.008,-2.7,-0.7,-3.3,0,"George",18314532
"318","paulmillsap","Paul Millsap\millspa01","PF",73,"ATL",29,73,32.7,6.1,12.7,0.476,1.1,3,0.356,5,9.8,0.513,0.518,3.5,4.6,0.757,1.9,5.9,7.8,3.1,1.8,0.9,2.3,2.8,16.7,2390,20,0.565,0.232,0.362,6.9,20,13.6,15.4,2.8,2.4,13.3,23.8,4,4.3,8.3,0.166,1.6,2.6,4.2,3.7,"Millsap",20072033
"319","paulpierce","Paul Pierce\piercpa01","SF",73,"WAS",37,73,26.2,4,9,0.447,1.6,4.2,0.389,2.4,4.8,0.496,0.537,2.2,2.9,0.781,0.6,3.4,4,2,0.6,0.3,1.3,2.2,11.9,1914,15.2,0.58,0.462,0.32,2.7,14.3,8.7,11.9,1.2,1,10.9,19.9,3.2,2.3,5.5,0.138,1.7,-0.2,1.5,1.7,"Pierce",3527920
"320","philpressey","Phil Pressey\pressph01","PG",50,"BOS",23,0,12,1.3,3.5,0.368,0.3,1.3,0.246,1,2.2,0.44,0.414,0.7,1,0.673,0.3,1.3,1.6,2.3,0.6,0.1,0.8,1.1,3.5,600,11.8,0.453,0.374,0.282,2.3,12.4,7.3,28,2.5,0.8,17.3,17.3,0,0.7,0.8,0.06,-2.3,0,-2.2,0,"Pressey",5572
"321","philpressey","Phil Pressey\pressph01","PG",50,"BOS",23,0,12,1.3,3.5,0.368,0.3,1.3,0.246,1,2.2,0.44,0.414,0.7,1,0.673,0.3,1.3,1.6,2.3,0.6,0.1,0.8,1.1,3.5,600,11.8,0.453,0.374,0.282,2.3,12.4,7.3,28,2.5,0.8,17.3,17.3,0,0.7,0.8,0.06,-2.3,0,-2.2,0,"Pressey",5572
"322","pjhairston","P.J. Hairston\hairspj02","SG",45,"CHO",22,2,15.3,1.9,6,0.323,1.1,3.6,0.301,0.8,2.4,0.358,0.414,0.7,0.8,0.861,0.5,1.6,2,0.5,0.5,0.3,0.5,1.4,5.6,687,9,0.446,0.606,0.134,3.4,11.5,7.4,5.1,1.6,1.5,7.2,20.4,-0.5,0.8,0.3,0.022,-2.2,-1.3,-3.5,-0.3,"Hairston",1175580
"323","pjtucker","P.J. Tucker\tuckepj01","SF",78,"PHO",29,63,30.6,3.3,7.6,0.438,1.1,3.2,0.345,2.2,4.4,0.506,0.511,1.3,1.8,0.727,1.5,5,6.4,1.6,1.4,0.3,1.2,2.3,9.1,2383,12.5,0.541,0.423,0.24,5.2,18,11.5,7.4,2.2,0.7,12.7,13.9,2.2,2.7,4.9,0.098,-0.2,1.4,1.2,1.9,"Tucker",5500000
"324","quincyacy","Quincy Acy\acyqu01","PF",68,"NYK",24,22,18.9,2.2,4.9,0.459,0.3,0.9,0.3,2,4,0.494,0.486,1.1,1.4,0.784,1.2,3.3,4.4,1,0.4,0.3,0.9,2.2,5.9,1287,11.9,0.533,0.181,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,1,0.7,1.7,0.063,-2.3,-0.8,-3.1,-0.3,"Acy",1016155
"325","quincypondexter","Quincy Pondexter\pondequ01","SF-SG",75,"TOT",26,30,23.9,2.5,6,0.421,1.2,3.3,0.373,1.3,2.7,0.478,0.522,0.9,1.3,0.74,0.7,1.9,2.6,1.3,0.3,0.3,0.7,2,7.2,1793,9.9,0.55,0.546,0.215,3.4,9,6.2,7.7,0.6,1,9.4,13.8,2.1,0.8,2.9,0.078,0.5,-1.1,-0.7,0.6,"Pondexter",3500000
"326","rajonrondo","Rajon Rondo\rondora01","PG",68,"TOT",28,68,29.7,4,9.5,0.426,0.4,1.3,0.314,3.6,8.2,0.444,0.447,0.5,1.1,0.397,1.1,4.4,5.5,7.9,1.3,0.1,3.1,2.3,8.9,2018,13.5,0.448,0.133,0.121,3.9,16.4,10.1,39.3,2.3,0.3,23.6,19.5,-0.7,2.3,1.6,0.037,-1.6,1.1,-0.5,0.8,"Rondo",9500000
"327","ramonsessions","Ramon Sessions\sessira01","PG",64,"TOT",28,10,18.6,2,5.2,0.374,0.3,0.9,0.317,1.7,4.3,0.387,0.403,2.1,2.7,0.769,0.4,1.9,2.3,2.8,0.5,0,1.3,1.1,6.3,1188,11.1,0.49,0.18,0.518,2.3,11.2,6.9,23,1.2,0,17.3,18.7,0.4,0.7,1.1,0.044,-2.3,-1.6,-3.9,-0.6,"Sessions",2123733
"328","randyfoye","Randy Foye\foyera01","SG",50,"DEN",31,21,21.7,3,8,0.368,1.9,5.3,0.357,1.1,2.8,0.388,0.485,0.9,1.1,0.818,0.2,1.5,1.7,2.4,0.7,0.2,1.2,1.9,8.7,1087,11,0.51,0.654,0.137,0.9,7.8,4.2,17,1.6,0.8,12.3,19.3,0.6,0.4,1,0.045,0.7,-1.8,-1.1,0.2,"Foye",3045000
"329","raymccallum","Ray McCallum\mccalra01","PG",68,"SAC",23,30,21.1,3,6.9,0.438,0.5,1.6,0.306,2.5,5.3,0.479,0.474,0.8,1.2,0.679,0.8,1.9,2.6,2.8,0.7,0.2,1.3,1.4,7.4,1436,12.5,0.496,0.236,0.179,4.3,9.8,7.1,21.3,1.6,0.6,14.4,18.2,0.8,0.5,1.4,0.045,-0.4,-1.3,-1.7,0.1,"McCallum",5572
"330","raymondfelton","Raymond Felton\feltora01","PG",29,"DAL",30,3,9.7,1.5,3.7,0.406,0.3,1.2,0.294,1.1,2.5,0.458,0.453,0.4,0.5,0.8,0.1,0.8,0.9,1.4,0.4,0.1,0.6,0.6,3.7,281,12.4,0.48,0.321,0.142,0.8,9.4,5.1,21.9,2,1.2,13.8,20.7,0,0.2,0.2,0.039,-1.8,-1.3,-3,-0.1,"Felton",3715383
"331","reggiebullock","Reggie Bullock\bullore01","SF",36,"TOT",23,2,9.4,0.7,1.9,0.343,0.4,1.3,0.326,0.3,0.7,0.375,0.45,0.2,0.3,0.667,0,1.4,1.4,0.2,0.3,0.1,0.2,0.5,1.9,338,6.2,0.466,0.657,0.129,0.3,16,8.3,3.2,1.5,0.9,9.8,10.9,-0.2,0.3,0.1,0.019,-3.6,-0.4,-4,-0.2,"Bullock",1464451
"332","reggiejackson","Reggie Jackson\jacksre01","PG",77,"TOT",24,40,29.5,5.6,12.9,0.434,0.9,3.1,0.299,4.7,9.8,0.477,0.47,2.4,2.8,0.83,0.7,3.5,4.2,6,0.8,0.1,2.4,2.2,14.5,2268,17.2,0.511,0.242,0.219,2.6,12.9,7.8,34.8,1.4,0.3,14.6,24.6,3.3,1.7,4.9,0.104,1.9,-1.2,0.8,1.6,"Jackson",16000000
"333","richardjefferson","Richard Jefferson\jefferi01","SF",74,"DAL",34,18,16.8,1.9,4.4,0.444,0.9,2.1,0.426,1.1,2.3,0.462,0.546,1.1,1.5,0.684,0.3,2.1,2.5,0.8,0.4,0.1,0.7,1.6,5.8,1244,11.3,0.577,0.478,0.352,2.2,14,8.1,7,1.3,0.7,12.2,15.3,1.4,0.9,2.3,0.088,-0.2,-0.5,-0.7,0.4,"Jefferson",1499187
"334","rickyrubio","Ricky Rubio\rubiori01","PG",22,"MIN",24,22,31.5,3.5,10,0.356,0.6,2.3,0.255,3,7.6,0.387,0.386,2.6,3.2,0.803,0.9,4.8,5.7,8.8,1.7,0,2.9,2.7,10.3,692,15.2,0.452,0.233,0.324,3,18.1,10.3,43.5,2.8,0.1,20.4,20,0.1,0.4,0.5,0.033,0.1,-0.5,-0.5,0.3,"Rubio",13750000
"335","robertcovington","Robert Covington\covinro01","SF",70,"PHI",24,49,27.9,4.3,10.8,0.396,2.4,6.4,0.374,1.9,4.4,0.426,0.506,2.5,3.1,0.82,0.9,3.6,4.5,1.5,1.4,0.4,1.8,2.7,13.5,1956,14.7,0.554,0.59,0.287,3.4,14.6,8.8,9.8,2.5,1.3,13.1,21.8,1.6,2.3,4,0.097,0.6,-0.5,0.2,1.1,"Covington",1148232
"336","robertsacre","Robert Sacre\sacrero01","C",67,"LAL",25,18,16.9,1.9,4.6,0.412,0,0,0,1.9,4.6,0.413,0.412,0.8,1.2,0.671,1.3,2.1,3.5,0.8,0.4,0.6,0.5,1.8,4.6,1133,10.9,0.449,0.003,0.268,8.4,14.6,11.4,7.4,1.3,3.1,9.5,14.8,0.3,0.6,0.8,0.035,-3.3,0.4,-2.8,-0.2,"Sacre",895154
"337","robinlopez","Robin Lopez\lopezro01","C",59,"POR",26,59,27.8,4,7.4,0.535,0,0,0,4,7.4,0.537,0.535,1.7,2.2,0.772,3.2,3.5,6.7,0.9,0.3,1.4,1.2,2.1,9.6,1638,16.2,0.574,0.002,0.291,12.7,13.1,12.9,5.1,0.5,3.7,12.9,15.5,3.2,1.9,5.1,0.15,0.1,2,2.1,1.7,"Lopez",12650000
"338","robinlopez","Robin Lopez\lopezro01","C",59,"POR",26,59,27.8,4,7.4,0.535,0,0,0,4,7.4,0.537,0.535,1.7,2.2,0.772,3.2,3.5,6.7,0.9,0.3,1.4,1.2,2.1,9.6,1638,16.2,0.574,0.002,0.291,12.7,13.1,12.9,5.1,0.5,3.7,12.9,15.5,3.2,1.9,5.1,0.15,0.1,2,2.1,1.7,"Lopez",13503875
"339","rodneyhood","Rodney Hood\hoodro01","SG",50,"UTA",22,21,21.3,3.1,7.5,0.414,1.2,3.4,0.365,1.9,4.1,0.456,0.497,1.2,1.6,0.763,0.2,2.2,2.3,1.7,0.6,0.2,0.9,2.4,8.7,1064,12.3,0.529,0.455,0.214,1,11.7,6.4,13.2,1.5,0.9,9.9,19.6,1.3,0.9,2.2,0.098,0.2,-1.3,-1.1,0.2,"Hood",1608046
"340","rodneystuckey","Rodney Stuckey\stuckro01","PG",71,"IND",28,36,26.4,4.7,10.6,0.44,0.8,2,0.39,3.9,8.6,0.452,0.477,2.5,3,0.819,0.5,3,3.5,3.1,0.8,0.1,1.7,1.8,12.6,1874,15.4,0.528,0.187,0.286,2.1,12.4,7.3,20.2,1.5,0.4,12.2,23.4,1.9,2.2,4,0.103,0.2,-0.3,-0.1,0.9,"Stuckey",7000000
"341","ronnieprice","Ronnie Price\pricero01","PG",43,"LAL",31,20,22.8,1.8,5.2,0.345,0.7,2.5,0.284,1.1,2.7,0.404,0.415,0.8,1,0.8,0.4,1.2,1.6,3.8,1.6,0.1,1.2,2.7,5.1,982,10.2,0.455,0.489,0.202,2.1,5.8,3.9,24.4,3.5,0.3,17.6,13.4,0.2,0.6,0.7,0.036,-1,-1,-2,0,"Price",1499187
"342","royhibbert","Roy Hibbert\hibbero01","C",76,"IND",28,76,25.3,4.2,9.3,0.446,0,0,0,4.2,9.3,0.448,0.446,2.2,2.7,0.824,2.1,5.1,7.1,1.1,0.2,1.6,1.4,2.8,10.6,1926,15.4,0.501,0.003,0.287,9,21.9,15.5,7.4,0.5,5.1,11.8,21.3,1,3.2,4.2,0.105,-3.1,2.1,-1,0.5,"Hibbert",14610937
"343","rudygay","Rudy Gay\gayru01","SF",68,"SAC",28,67,35.4,7.5,16.4,0.455,1.2,3.2,0.359,6.3,13.2,0.479,0.491,5,5.8,0.858,1.4,4.4,5.9,3.7,1,0.6,2.7,2.3,21.1,2408,19.7,0.556,0.197,0.352,4.8,13.7,9.4,19,1.5,1.3,12.4,27,4.8,1.3,6.1,0.122,2.8,-0.7,2.1,2.5,"Gay",13333333
"344","rudygobert","Rudy Gobert\goberru01","C",82,"UTA",22,37,26.3,3.1,5.2,0.604,0,0,0,3.1,5.2,0.607,0.604,2.1,3.3,0.623,3.2,6.2,9.5,1.3,0.8,2.3,1.4,2.1,8.4,2158,21.6,0.627,0.005,0.639,14.3,27.2,20.7,8.2,1.6,7,16.9,14,5,4.3,9.3,0.206,0.7,5.1,5.8,4.3,"Gobert",1375842
"345","russellwestbrook","Russell Westbrook\westbru01","PG",67,"OKC",26,67,34.4,9.4,22,0.426,1.3,4.3,0.299,8.1,17.7,0.457,0.455,8.1,9.8,0.835,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1,2302,29.1,0.536,0.196,0.445,5.9,16.7,11.4,47,3,0.5,14.3,38.4,7.5,3.2,10.6,0.222,8.8,2.2,11,7.6,"Westbrook",15719062
"346","ryananderson","Ryan Anderson\anderry01","PF",61,"NOP",26,5,27.5,4.8,12,0.399,2,5.9,0.34,2.8,6.1,0.457,0.483,2.1,2.5,0.854,1.8,3.1,4.8,0.9,0.5,0.3,1,1.9,13.7,1675,15.6,0.524,0.492,0.207,7.3,12.7,10,5.4,1,0.9,7.2,23.4,2.6,0.9,3.5,0.1,2,-3.1,-1.1,0.4,"Anderson",8500000
"347","ryanhollins","Ryan Hollins\holliry01","C",46,"SAC",30,9,9.6,1.2,1.8,0.646,0,0,0,1.2,1.8,0.646,0.646,0.7,1.2,0.574,0.8,1.5,2.2,0.3,0.1,0.4,0.5,1.4,3,441,13.1,0.648,0,0.659,9.6,16.6,13.2,5,0.7,3.4,19.1,13.1,0.7,0.3,1,0.104,-1.4,0,-1.4,0.1,"Hollins",8017
"348","ryanhollins","Ryan Hollins\holliry01","C",46,"SAC",30,9,9.6,1.2,1.8,0.646,0,0,0,1.2,1.8,0.646,0.646,0.7,1.2,0.574,0.8,1.5,2.2,0.3,0.1,0.4,0.5,1.4,3,441,13.1,0.648,0,0.659,9.6,16.6,13.2,5,0.7,3.4,19.1,13.1,0.7,0.3,1,0.104,-1.4,0,-1.4,0.1,"Hollins",8017
"349","ryankelly","Ryan Kelly\kellyry01","PF",52,"LAL",23,34,23.7,2,5.9,0.337,0.9,2.6,0.336,1.1,3.4,0.337,0.409,1.5,1.8,0.832,0.3,2.6,2.8,1.8,0.6,0.5,0.7,2.3,6.4,1233,8.6,0.473,0.434,0.307,1.1,12.4,6.5,10.9,1.2,1.6,9.5,14,0.4,0.3,0.7,0.027,-2.1,-0.8,-2.8,-0.3,"Kelly",1687125
"350","seankilpatrick","Sean Kilpatrick\kilpase01","SG",4,"MIN",25,0,18,1.8,5,0.35,1,3.3,0.308,0.8,1.8,0.429,0.45,1,1,1,0.3,1.3,1.5,1,0.8,0,0.5,0.8,5.5,72,10,0.506,0.65,0.2,1.5,8.2,4.8,8.5,2.1,0,8.4,14.6,0.1,0,0.1,0.033,-0.7,-3,-3.8,0,"Kilpatrick",4971
"351","seankilpatrick","Sean Kilpatrick\kilpase01","SG",4,"MIN",25,0,18,1.8,5,0.35,1,3.3,0.308,0.8,1.8,0.429,0.45,1,1,1,0.3,1.3,1.5,1,0.8,0,0.5,0.8,5.5,72,10,0.506,0.65,0.2,1.5,8.2,4.8,8.5,2.1,0,8.4,14.6,0.1,0,0.1,0.033,-0.7,-3,-3.8,0,"Kilpatrick",750951
"352","seankilpatrick","Sean Kilpatrick\kilpase01","SG",4,"MIN",25,0,18,1.8,5,0.35,1,3.3,0.308,0.8,1.8,0.429,0.45,1,1,1,0.3,1.3,1.5,1,0.8,0,0.5,0.8,5.5,72,10,0.506,0.65,0.2,1.5,8.2,4.8,8.5,2.1,0,8.4,14.6,0.1,0,0.1,0.033,-0.7,-3,-3.8,0,"Kilpatrick",4971
"353","seankilpatrick","Sean Kilpatrick\kilpase01","SG",4,"MIN",25,0,18,1.8,5,0.35,1,3.3,0.308,0.8,1.8,0.429,0.45,1,1,1,0.3,1.3,1.5,1,0.8,0,0.5,0.8,5.5,72,10,0.506,0.65,0.2,1.5,8.2,4.8,8.5,2.1,0,8.4,14.6,0.1,0,0.1,0.033,-0.7,-3,-3.8,0,"Kilpatrick",4971
"354","seankilpatrick","Sean Kilpatrick\kilpase01","SG",4,"MIN",25,0,18,1.8,5,0.35,1,3.3,0.308,0.8,1.8,0.429,0.45,1,1,1,0.3,1.3,1.5,1,0.8,0,0.5,0.8,5.5,72,10,0.506,0.65,0.2,1.5,8.2,4.8,8.5,2.1,0,8.4,14.6,0.1,0,0.1,0.033,-0.7,-3,-3.8,0,"Kilpatrick",4971
"355","sergeibaka","Serge Ibaka\ibakase01","PF",64,"OKC",25,64,33.1,5.8,12.3,0.476,1.2,3.2,0.376,4.6,9.1,0.511,0.525,1.4,1.7,0.836,2.1,5.7,7.8,0.9,0.5,2.4,1.5,3,14.3,2116,16.6,0.549,0.261,0.14,7,18.1,12.6,4.2,0.7,5.8,10.4,18.9,2.9,2.7,5.6,0.127,-0.5,1.3,0.8,1.5,"Ibaka",12350000
"356","sergeykarasev","Sergey Karasev\karasse01","SG",33,"BRK",21,16,16.8,1.6,4.1,0.403,0.5,1.6,0.296,1.2,2.4,0.475,0.463,0.9,1.2,0.763,0.7,1.3,2,1.4,0.7,0,0.7,1.4,4.6,555,10.5,0.508,0.403,0.284,4.5,8.9,6.7,12.3,2.1,0.1,13.7,14.4,0.3,0.4,0.7,0.061,-0.7,-0.5,-1.2,0.1,"Karasev",1533840
"357","sethcurry","Seth Curry\curryse01","PG",2,"PHO",24,0,4,0,1.5,0,0,0.5,0,0,1,0,0,0,0,0,0,1,1,0.5,0,0,0,1,0,8,-11.4,0,0.333,0,0,27.7,13.7,15.6,0,0,0,16.5,-0.1,0,0,-0.298,-14.3,-1.6,-15.9,0,"Curry",981486
"358","shabazzmuhammad","Shabazz Muhammad\muhamsh01","SG",38,"MIN",22,13,22.8,5.1,10.4,0.489,0.5,1.3,0.392,4.6,9.1,0.503,0.514,2.7,3.8,0.717,1.7,2.4,4.1,1.2,0.5,0.2,0.9,1.3,13.5,866,19.9,0.556,0.128,0.365,8.1,12.4,10.2,9.6,1.1,0.6,7.1,25.3,2.1,-0.1,2,0.11,2,-3.8,-1.8,0,"Muhammad",2240575
"359","shabazznapier","Shabazz Napier\napiesh01","PG",51,"MIA",23,10,19.8,1.7,4.5,0.382,0.8,2.3,0.364,0.9,2.2,0.4,0.476,0.9,1.1,0.786,0.3,1.9,2.2,2.5,0.8,0.1,1.6,1.5,5.1,1012,9.3,0.517,0.518,0.246,2.1,11.2,6.7,19.9,2.1,0.3,24.3,15.5,-0.3,0.8,0.5,0.024,-2,-0.6,-2.6,-0.2,"Napier",1294440
"360","shabazznapier","Shabazz Napier\napiesh01","PG",51,"MIA",23,10,19.8,1.7,4.5,0.382,0.8,2.3,0.364,0.9,2.2,0.4,0.476,0.9,1.1,0.786,0.3,1.9,2.2,2.5,0.8,0.1,1.6,1.5,5.1,1012,9.3,0.517,0.518,0.246,2.1,11.2,6.7,19.9,2.1,0.3,24.3,15.5,-0.3,0.8,0.5,0.024,-2,-0.6,-2.6,-0.2,"Napier",1561140
"361","shanelarkin","Shane Larkin\larkish01","PG",76,"NYK",22,22,24.5,2.5,5.7,0.433,0.5,1.5,0.302,2,4.2,0.481,0.473,0.8,1,0.782,0.4,1.9,2.3,3,1.2,0.1,1.1,2,6.2,1865,10.9,0.504,0.269,0.181,1.7,9.4,5.4,19.4,2.6,0.4,15.1,13.6,0.8,0.9,1.7,0.045,-1.6,-0.7,-2.4,-0.2,"Larkin",1500000
"362","shaunlivingston","Shaun Livingston\livinsh01","PG",78,"GSW",29,2,18.8,2.5,5.1,0.5,0,0,0,2.5,5.1,0.503,0.5,0.8,1.2,0.714,0.6,1.8,2.3,3.3,0.6,0.3,1.3,1.4,5.9,1468,12.9,0.529,0.005,0.23,3.3,10,6.7,24.2,1.6,1,19,15.9,1.5,1.8,3.3,0.107,-2.1,0.4,-1.7,0.1,"Livingston",5543725
"363","shaynewhittington","Shayne Whittington\whittsh01","PF",20,"IND",23,0,5.4,1,2.1,0.452,0.1,0.3,0.167,0.9,1.8,0.5,0.464,0.9,1.2,0.783,0.5,1,1.5,0.3,0.3,0.1,0.3,0.9,2.9,108,20,0.547,0.143,0.548,10.3,19.3,14.8,9.6,2.4,1.5,8.8,23.9,0.3,0.2,0.4,0.2,0.5,0,0.5,0.1,"Whittington",912745
"364","shelvinmack","Shelvin Mack\macksh01","PG",55,"ATL",24,0,15.1,2.1,5.3,0.401,0.7,2.3,0.315,1.4,3,0.467,0.469,0.5,0.6,0.806,0.1,1.3,1.4,2.8,0.5,0,0.9,0.6,5.4,833,13.2,0.489,0.435,0.106,1.1,9.5,5.4,28.6,1.8,0.2,13.8,19.5,0.5,0.8,1.3,0.075,-0.9,-2.2,-3.1,-0.2,"Mack",2433333
"365","solomonhill","Solomon Hill\hillso01","SF",82,"IND",23,78,29,3.1,7.7,0.396,0.8,2.5,0.327,2.2,5.2,0.43,0.45,1.9,2.4,0.824,0.9,3,3.8,2.2,0.8,0.2,1.4,2.2,8.9,2381,10.2,0.507,0.328,0.304,3.3,11.2,7.3,11.9,1.4,0.6,13.8,15.9,0.9,2.6,3.5,0.072,-1.1,0.8,-0.3,1,"Hill",1302800
"366","spencerdinwiddie","Spencer Dinwiddie\dinwisp01","PG",34,"DET",21,1,13.4,1.5,5,0.302,0.4,1.9,0.185,1.1,3.1,0.375,0.337,0.9,1,0.912,0.1,1.3,1.4,3.1,0.6,0.2,1,1.6,4.3,455,10.2,0.394,0.385,0.201,0.9,10.9,5.7,34.9,2.2,1,15.2,21.1,-0.3,0.4,0.1,0.009,-2.6,-1.5,-4.2,-0.2,"Dinwiddie",841830
"367","spencerdinwiddie","Spencer Dinwiddie\dinwisp01","PG",34,"DET",21,1,13.4,1.5,5,0.302,0.4,1.9,0.185,1.1,3.1,0.375,0.337,0.9,1,0.912,0.1,1.3,1.4,3.1,0.6,0.2,1,1.6,4.3,455,10.2,0.394,0.385,0.201,0.9,10.9,5.7,34.9,2.2,1,15.2,21.1,-0.3,0.4,0.1,0.009,-2.6,-1.5,-4.2,-0.2,"Dinwiddie",845059
"368","spencerhawes","Spencer Hawes\hawessp01","PF",73,"LAC",26,15,17.5,2.2,5.7,0.393,0.8,2.4,0.313,1.5,3.3,0.452,0.459,0.6,0.9,0.647,0.4,3.1,3.5,1.2,0.3,0.7,0.8,2.4,5.8,1274,9.8,0.478,0.424,0.164,2.7,19.7,11.4,10,1,3.4,12.1,17.9,-0.3,1.5,1.2,0.044,-2.9,1,-1.9,0,"Hawes",566309
"369","spencerhawes","Spencer Hawes\hawessp01","PF",73,"LAC",26,15,17.5,2.2,5.7,0.393,0.8,2.4,0.313,1.5,3.3,0.452,0.459,0.6,0.9,0.647,0.4,3.1,3.5,1.2,0.3,0.7,0.8,2.4,5.8,1274,9.8,0.478,0.424,0.164,2.7,19.7,11.4,10,1,3.4,12.1,17.9,-0.3,1.5,1.2,0.044,-2.9,1,-1.9,0,"Hawes",5663088
"370","stephencurry","Stephen Curry\curryst01","PG",80,"GSW",26,80,32.7,8.2,16.8,0.487,3.6,8.1,0.443,4.6,8.7,0.528,0.594,3.9,4.2,0.914,0.7,3.6,4.3,7.7,2,0.2,3.1,2,23.8,2613,28,0.638,0.482,0.251,2.4,11.4,7,38.6,3,0.5,14.3,28.9,11.5,4.1,15.7,0.288,9.6,0.3,9.9,7.9,"Curry",11000000
"371","steveblake","Steve Blake\blakest01","PG",81,"POR",34,0,18.9,1.5,4,0.373,1,2.7,0.352,0.6,1.3,0.417,0.491,0.4,0.5,0.707,0.2,1.5,1.7,3.6,0.5,0.1,1.3,1.5,4.3,1529,9.5,0.507,0.67,0.125,1.1,8.3,4.8,26.2,1.4,0.2,23.2,13.2,0.7,1.4,2.1,0.066,-1.2,-0.9,-2.1,0,"Blake",2123733
"372","stevenadams","Steven Adams\adamsst01","C",70,"OKC",21,67,25.3,3.1,5.7,0.544,0,0,0,3.1,5.7,0.547,0.544,1.5,2.9,0.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7,1771,14.1,0.549,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,1.9,2.2,4.1,0.111,-1.4,1.8,0.4,1.1,"Adams",2423849
"373","stevenovak","Steve Novak\novakst01","SF-PF",35,"TOT",31,0,5.6,0.6,1.6,0.393,0.5,1.4,0.396,0.1,0.2,0.375,0.563,0,0.1,0,0.1,0.6,0.6,0.3,0,0.1,0.1,0.7,1.8,197,8.6,0.554,0.857,0.036,1.1,11.4,6.3,8.6,0,0.8,8.1,14.1,0.2,0.1,0.3,0.075,-0.2,-3.2,-3.4,-0.1,"Novak",424903
"374","tajgibson","Taj Gibson\gibsota01","PF",62,"CHI",29,17,27.3,4.1,8.2,0.502,0,0,0,4.1,8.2,0.502,0.502,2.1,3,0.717,2.6,3.8,6.4,1.1,0.6,1.2,1.2,2.6,10.3,1692,16.1,0.545,0,0.364,10.7,14.6,12.7,6.9,1.1,3.2,11.6,17.6,2.7,2.1,4.8,0.137,-0.6,1.1,0.6,1.1,"Gibson",8250000
"375","tarikblack","Tarik Black\blackta01","C",63,"TOT",23,39,19,2.5,4.3,0.575,0,0,0,2.5,4.3,0.577,0.575,1,1.9,0.551,2.3,3.6,5.8,0.7,0.3,0.4,0.8,2.5,6,1196,14.7,0.583,0.004,0.432,12.8,21.4,17,5.6,0.8,1.6,12.9,13.8,2.2,0.9,3.1,0.124,-1,-0.6,-1.6,0.1,"Black",676198
