fix,Tm,Pos,G,GS,MP,FG,FGA,FG.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,PER,TS.,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,average salary
krishumphries,BRK,PF,65,21,18.3,2.1,4.8,0.44799999999999995,0.44799999999999995,1.5,1.9,0.789,1.9,3.7,5.6,0.5,0.2,0.5,0.9,2.0,5.8,13.6,0.515,0.397,12.4,23.9,18.1,4.3,0.7,2.1,13.5,16.3,1.4,1.3,2.7,0.109,-2.5,-0.2,-2.7,-0.2,12000000
sergeibaka,OKC,PF,80,80,31.1,5.6,9.7,0.573,0.586,1.8,2.4,0.7490000000000001,2.8,4.9,7.7,0.5,0.4,3.0,1.6,2.7,13.2,19.4,0.612,0.24600000000000002,11.1,17.0,14.2,2.8,0.6,7.4,12.7,18.1,5.3,4.1,9.4,0.18100000000000002,0.2,1.9,2.1,2.6,12350000
andreiguodala,DEN,SG,80,80,34.7,5.0,11.0,0.451,0.502,1.9,3.4,0.574,1.0,4.3,5.3,5.4,1.7,0.7,2.6,1.6,13.0,15.2,0.52,0.307,3.4,13.5,8.5,22.4,2.5,1.5,17.1,18.8,2.4,3.2,5.6,0.09699999999999999,1.4,1.8,3.2,3.7,12000000
ersanilyasova,MIL,PF,73,54,27.6,5.1,11.0,0.462,0.521,1.7,2.2,0.7959999999999999,2.1,5.0,7.1,1.6,0.9,0.5,1.0,2.5,13.2,18.3,0.552,0.196,7.9,20.3,13.9,9.6,1.7,1.3,7.9,20.5,4.1,2.5,6.7,0.159,1.7,0.1,1.8,1.9,8000000
kyrieirving,CLE,PG,59,59,34.7,8.2,18.1,0.452,0.503,4.2,4.9,0.855,0.6,3.1,3.7,5.9,1.5,0.4,3.2,2.5,22.5,21.4,0.5529999999999999,0.271,1.8,10.8,6.1,32.7,2.3,0.8,13.8,30.2,4.2,1.1,5.3,0.125,4.9,-1.6,3.3,2.8,5799503
royalivey,PHI,SG,53,5,13.2,1.2,2.7,0.431,0.5589999999999999,0.2,0.3,0.563,0.3,0.8,1.1,0.6,0.4,0.1,0.4,1.4,3.2,8.1,0.563,0.111,2.5,6.8,4.6,6.7,1.7,0.3,11.7,11.3,0.5,0.5,1.0,0.066,-1.6,-1.1,-2.6,-0.1,7484
jarrettjack,GSW,SG,79,4,29.7,4.9,10.8,0.452,0.499,2.1,2.5,0.843,0.3,2.8,3.1,5.6,0.8,0.1,2.0,1.7,12.9,15.9,0.542,0.231,1.0,10.1,5.7,29.9,1.3,0.4,14.3,21.0,3.9,1.8,5.6,0.115,1.0,-1.4,-0.4,1.0,6300000
reggiejackson,OKC,PG,70,0,14.2,2.1,4.6,0.45799999999999996,0.495,0.7,0.9,0.8390000000000001,0.3,2.1,2.4,1.7,0.4,0.2,0.8,1.2,5.3,14.2,0.531,0.191,2.6,15.6,9.6,19.3,1.5,1.0,13.1,18.6,1.2,1.3,2.5,0.121,-0.3,-0.6,-0.8,0.3,1457363
bernardjames,DAL,C,46,11,9.9,1.2,2.2,0.515,0.515,0.5,0.9,0.61,1.1,1.7,2.8,0.1,0.3,0.8,0.4,1.4,2.8,14.7,0.541,0.39799999999999996,12.9,18.9,16.0,1.9,1.3,6.5,12.9,13.9,0.5,0.7,1.2,0.125,-2.8,1.6,-1.2,0.1,788872
lebronjames,MIA,PF,76,76,37.9,10.1,17.8,0.565,0.603,5.3,7.0,0.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,31.6,0.64,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,14.6,4.7,19.3,0.322,9.2,2.4,11.6,9.8,18306250
mikejames,DAL,PG,45,23,19.2,2.2,6.0,0.373,0.461,0.5,0.6,0.7929999999999999,0.2,1.4,1.6,3.1,0.6,0.1,1.2,2.1,6.1,9.5,0.48100000000000004,0.107,1.2,8.0,4.7,23.7,1.5,0.3,16.2,17.9,0.0,0.5,0.4,0.024,-1.3,-2.2,-3.4,-0.3,753059
aljefferson,UTA,C,78,78,33.1,7.8,15.8,0.494,0.495,2.1,2.8,0.77,2.0,7.2,9.2,2.1,1.0,1.1,1.3,2.2,17.8,20.9,0.522,0.17600000000000002,7.0,25.9,16.3,12.0,1.6,2.7,7.3,25.3,4.3,3.3,7.7,0.14300000000000002,0.5,1.0,1.5,2.2,13500000
richardjefferson,GSW,SF,56,1,10.1,1.1,2.4,0.456,0.507,0.7,0.9,0.7170000000000001,0.1,1.4,1.5,0.6,0.3,0.1,0.4,0.8,3.1,10.3,0.552,0.39,1.0,14.9,8.1,8.0,1.3,1.0,12.6,14.4,0.4,0.6,1.0,0.081,-2.6,-0.3,-2.9,-0.1,9723000
johnjenkins,ATL,SG,61,2,14.8,2.1,4.8,0.446,0.536,1.0,1.1,0.843,0.3,1.3,1.5,0.9,0.2,0.2,0.7,0.6,6.1,13.0,0.5760000000000001,0.23800000000000002,2.2,9.6,6.0,9.8,0.7,0.8,11.0,18.7,1.1,0.6,1.7,0.091,-0.5,-2.3,-2.8,-0.2,1258760
brandonjennings,MIL,PG,80,80,36.2,6.2,15.6,0.39899999999999997,0.46799999999999997,2.9,3.5,0.8190000000000001,0.7,2.3,3.1,6.5,1.6,0.1,2.5,1.9,17.5,16.1,0.51,0.225,2.1,7.2,4.6,29.1,2.2,0.3,12.9,23.7,3.6,2.2,5.8,0.096,2.4,-1.5,0.9,2.1,8000000
jonasjerebko,DET,PF,49,2,18.2,2.9,6.4,0.449,0.489,1.4,1.8,0.773,1.4,2.4,3.8,0.9,0.8,0.2,0.9,1.8,7.7,15.7,0.531,0.278,8.6,15.4,11.9,8.1,2.3,0.7,10.6,20.2,1.2,0.8,2.0,0.107,0.4,-1.0,-0.6,0.3,4500000
amirjohnson,TOR,PF,81,38,28.7,4.1,7.5,0.5539999999999999,0.5589999999999999,1.7,2.3,0.727,2.8,4.7,7.5,1.5,1.0,1.4,1.4,3.7,10.0,17.3,0.591,0.309,11.4,20.0,15.6,8.7,1.9,3.8,14.5,16.1,4.4,2.9,7.3,0.151,0.7,2.8,3.5,3.2,6000000
jamesjohnson,SAC,SF,54,11,16.3,2.2,5.2,0.413,0.41700000000000004,0.7,1.2,0.597,0.9,1.8,2.7,1.1,0.8,0.9,1.3,1.8,5.1,10.2,0.442,0.237,6.2,12.9,9.5,10.2,2.4,4.5,17.9,19.3,-1.1,0.6,-0.5,-0.027999999999999997,-4.5,1.5,-3.0,-0.2,680263
joejohnson,BRK,SG,72,72,36.7,6.2,14.6,0.423,0.493,1.8,2.2,0.82,0.7,2.3,3.0,3.5,0.7,0.2,1.7,1.4,16.3,14.1,0.521,0.153,2.4,7.4,4.9,16.7,1.0,0.4,9.9,21.7,3.9,1.2,5.1,0.092,1.9,-1.7,0.3,1.5,20609682
orlandojohnson,IND,SG,51,0,12.1,1.4,3.5,0.4,0.5,0.5,0.6,0.7190000000000001,0.4,1.8,2.2,0.9,0.2,0.2,0.6,1.0,4.0,11.4,0.523,0.17800000000000002,3.7,15.9,9.9,12.5,0.9,1.1,13.0,16.4,0.5,1.0,1.5,0.115,-1.2,0.1,-1.2,0.1,4640
wesleyjohnson,PHO,SF,50,21,19.1,3.2,7.9,0.40700000000000003,0.47,0.5,0.7,0.7709999999999999,0.4,2.0,2.5,0.7,0.4,0.4,1.0,1.1,8.0,10.3,0.485,0.08800000000000001,2.5,12.4,7.3,5.9,1.2,1.4,10.4,21.4,-0.5,0.5,0.0,0.0,-2.6,-2.3,-4.9,-0.7,916099
jamesjones,MIA,SF,38,0,5.8,0.6,1.6,0.344,0.475,0.1,0.1,0.5,0.0,0.6,0.6,0.3,0.1,0.2,0.1,0.4,1.6,8.1,0.478,0.066,0.0,11.6,6.1,8.4,0.5,2.2,4.6,14.2,0.1,0.2,0.2,0.054000000000000006,-1.4,-2.3,-3.7,-0.1,1500000
deandrejordan,LAC,C,82,82,24.5,3.8,6.0,0.643,0.643,1.2,3.0,0.386,2.6,4.7,7.2,0.3,0.6,1.4,1.2,2.3,8.8,17.2,0.606,0.51,12.7,22.4,17.6,2.2,1.3,4.7,14.3,15.9,3.0,3.2,6.2,0.14800000000000002,-0.8,1.1,0.3,1.2,10759764
coryjoseph,SAS,PG,28,9,13.9,1.8,3.9,0.46399999999999997,0.491,0.6,0.8,0.857,0.4,1.4,1.9,1.9,0.5,0.1,0.8,0.9,4.5,13.5,0.528,0.191,3.8,11.3,7.7,20.2,2.0,0.7,15.0,16.6,0.4,0.5,0.9,0.113,-1.1,0.6,-0.5,0.1,1290400
chriskaman,DAL,C,66,52,20.7,4.7,9.3,0.507,0.507,1.0,1.3,0.7879999999999999,1.5,4.2,5.6,0.8,0.4,0.8,1.6,2.1,10.5,16.3,0.529,0.138,8.1,22.1,15.2,6.6,1.1,3.0,13.6,25.3,0.0,1.6,1.6,0.057999999999999996,-3.2,-0.5,-3.7,-0.6,3183000
eneskanter,UTA,C,70,2,15.4,2.9,5.4,0.544,0.545,1.3,1.7,0.795,1.9,2.4,4.3,0.4,0.4,0.5,1.4,1.7,7.2,17.6,0.588,0.309,14.5,18.6,16.5,5.0,1.4,2.3,19.0,22.4,1.2,1.0,2.3,0.10099999999999999,-0.9,-1.2,-2.1,0.0,4663129
