fix,Tm,Pos,G,GS,MP,FG,FGA,FG%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
tyrekeevans,MEM,PG,52,32,30.9,7.0,15.6,0.452,0.523,3.2,4.0,0.785,0.8,4.3,5.1,5.2,1.1,0.3,2.3,1.8,19.4,0.561,0.258,3.1,16.3,9.5,31.2,1.8,1.0,11.5,28.4,3.1,1.2,4.2,0.126,4.4,-0.8,3.6,2.3
kennethfaried,DEN,PF,32,7,14.4,2.4,4.6,0.514,0.514,1.1,1.6,0.706,2.1,2.7,4.8,0.6,0.4,0.4,0.7,1.6,5.9,0.552,0.345,16.7,20.7,18.7,5.8,1.3,2.4,11.9,18.3,0.9,0.4,1.3,0.132,-1.1,-1.1,-2.3,0.0
derrickfavors,UTA,C,77,77,28.0,5.1,9.1,0.563,0.573,1.8,2.8,0.6509999999999999,2.6,4.6,7.2,1.3,0.7,1.1,1.1,2.1,12.3,0.593,0.306,10.6,18.5,14.6,7.8,1.3,3.2,9.9,18.5,4.5,3.5,8.0,0.179,0.5,2.2,2.7,2.5
cristianofelicio,CHI,C,55,16,17.8,2.3,3.9,0.591,0.591,1.0,1.5,0.667,1.5,2.7,4.2,1.0,0.3,0.2,1.0,1.9,5.6,0.614,0.377,8.8,17.1,12.8,8.4,0.8,1.0,17.7,13.6,1.2,0.5,1.7,0.086,-2.3,-0.1,-2.4,-0.1
raymondfelton,OKC,PG,82,2,16.6,2.7,6.7,0.406,0.479,0.4,0.5,0.818,0.3,1.6,1.9,2.5,0.6,0.2,0.9,1.1,6.9,0.494,0.08,2.0,11.0,6.3,22.5,1.8,1.1,11.7,20.4,0.9,1.3,2.2,0.078,-1.1,-1.7,-2.8,-0.3
evanfournier,ORL,SF,57,57,32.2,6.5,14.1,0.45899999999999996,0.5379999999999999,2.6,3.0,0.867,0.4,2.8,3.2,2.9,0.8,0.3,1.7,2.4,17.8,0.5770000000000001,0.21600000000000003,1.4,9.5,5.4,14.8,1.3,0.7,9.8,23.3,2.4,0.9,3.3,0.087,1.6,-2.1,-0.4,0.7
channingfrye,TOT,C,53,1,13.1,2.0,4.0,0.491,0.583,0.3,0.4,0.895,0.2,2.3,2.5,0.7,0.3,0.2,0.4,1.3,5.0,0.599,0.09,1.9,19.4,10.8,7.9,1.3,1.6,8.7,15.2,0.9,0.6,1.5,0.10099999999999999,-0.7,-1.0,-1.7,0.1
marcgasol,MEM,C,73,73,33.0,5.9,14.2,0.42,0.473,3.8,4.6,0.8340000000000001,1.1,7.0,8.1,4.2,0.7,1.4,2.7,2.5,17.2,0.532,0.326,3.7,25.3,14.2,21.7,1.1,3.9,14.1,25.6,1.5,2.6,4.0,0.08,-0.1,1.6,1.5,2.1
paugasol,SAS,C,77,63,23.5,3.7,8.1,0.45799999999999996,0.49200000000000005,2.1,2.7,0.7559999999999999,1.7,6.4,8.0,3.1,0.3,1.0,1.4,1.6,10.1,0.539,0.33299999999999996,7.8,30.2,19.0,20.1,0.7,3.6,13.1,20.4,2.7,3.3,6.0,0.159,-0.1,3.3,3.2,2.4
rudygay,SAS,PF,57,6,21.6,4.4,9.4,0.47100000000000003,0.506,2.0,2.5,0.772,1.3,3.8,5.1,1.3,0.8,0.7,1.4,1.7,11.5,0.545,0.27,6.8,19.5,13.1,9.8,1.9,2.6,11.5,24.6,1.0,2.1,3.1,0.12300000000000001,-0.7,1.0,0.3,0.7
paulgeorge,OKC,SF,79,79,36.6,7.3,16.9,0.43,0.521,4.3,5.2,0.82,0.9,4.7,5.7,3.3,2.0,0.5,2.7,2.9,21.9,0.57,0.308,2.7,14.9,8.6,14.5,2.8,1.2,12.2,25.7,5.0,3.9,8.9,0.14800000000000002,2.5,0.0,2.6,3.3
tajgibson,MIN,PF,82,82,33.2,5.2,9.0,0.5770000000000001,0.581,1.7,2.3,0.768,2.4,4.8,7.1,1.2,0.8,0.7,1.1,2.7,12.2,0.61,0.251,8.1,16.7,12.4,5.2,1.1,1.9,9.8,14.7,5.4,1.7,7.2,0.126,0.9,0.2,1.1,2.1
manuginobili,SAS,SG,65,0,20.0,3.1,7.1,0.434,0.503,1.7,2.0,0.84,0.3,1.9,2.2,2.5,0.7,0.2,1.6,1.9,8.9,0.5529999999999999,0.28300000000000003,1.6,10.6,6.1,19.1,1.7,1.0,16.8,21.5,0.6,1.6,2.2,0.08199999999999999,-0.5,-0.5,-1.0,0.3
rudygobert,UTA,C,56,56,32.4,4.9,7.9,0.622,0.622,3.6,5.3,0.682,2.9,7.8,10.7,1.4,0.8,2.3,1.9,2.7,13.5,0.657,0.6729999999999999,10.4,27.0,18.8,6.9,1.2,6.0,15.7,16.9,4.2,3.9,8.1,0.214,-0.3,4.6,4.3,2.9
ericgordon,HOU,SG,69,30,31.2,6.0,14.1,0.428,0.54,2.8,3.5,0.809,0.4,2.1,2.5,2.2,0.6,0.4,1.9,1.7,18.0,0.578,0.248,1.3,7.5,4.4,11.7,1.0,1.1,10.8,24.7,2.9,1.8,4.7,0.105,1.4,-2.4,-1.0,0.5
