fix,Tm,Pos,G,GS,MP,FG,FGA,FG%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
klaythompson,GSW,SG,73,73,34.3,7.9,16.1,0.488,0.585,1.1,1.3,0.8370000000000001,0.4,3.4,3.8,2.5,0.8,0.5,1.8,1.6,20.0,0.598,0.083,1.5,10.3,6.2,11.2,1.1,1.1,9.5,23.7,3.2,1.8,4.9,0.094,1.8,-2.4,-0.6,0.9
tristanthompson,CLE,C,53,22,20.2,2.5,4.4,0.562,0.562,0.8,1.5,0.544,2.4,4.3,6.6,0.6,0.3,0.3,0.7,1.9,5.8,0.569,0.336,13.4,23.3,18.4,4.3,0.7,1.3,11.8,12.6,1.8,0.7,2.5,0.113,-1.6,-0.9,-2.5,-0.1
anthonytolliver,DET,PF,79,14,22.2,2.8,6.0,0.46399999999999997,0.632,1.3,1.7,0.797,0.6,2.4,3.1,1.1,0.4,0.3,0.7,1.8,8.9,0.6629999999999999,0.282,3.1,12.3,7.6,7.5,0.9,1.1,9.9,14.8,3.8,1.5,5.3,0.146,2.3,-0.8,1.5,1.5
p,HOU,PF,82,34,27.8,2.1,5.4,0.39,0.52,0.5,0.7,0.7170000000000001,1.1,4.4,5.6,0.9,1.0,0.3,0.9,2.5,6.1,0.537,0.136,4.6,17.8,11.3,4.6,1.7,1.0,13.7,10.5,1.0,3.0,3.9,0.08199999999999999,-1.5,1.5,0.0,1.2
evanturner,POR,SF,79,40,25.7,3.3,7.3,0.447,0.484,1.2,1.4,0.85,0.4,2.7,3.1,2.2,0.6,0.4,1.3,2.1,8.2,0.52,0.185,1.6,11.4,6.5,12.4,1.1,1.2,13.7,15.6,0.5,2.1,2.6,0.061,-2.4,0.6,-1.8,0.1
ekpeudoh,UTA,C,63,3,12.9,1.0,1.9,0.5,0.5,0.7,0.9,0.75,1.1,1.3,2.4,0.8,0.7,1.2,0.3,1.7,2.6,0.56,0.467,9.6,11.4,10.5,9.1,2.7,7.7,12.1,9.1,1.3,1.8,3.2,0.187,-1.1,6.8,5.7,1.6
jonasvalanciunas,TOR,C,77,77,22.4,5.1,8.9,0.568,0.59,2.2,2.7,0.8059999999999999,2.4,6.2,8.6,1.1,0.4,0.9,1.5,2.5,12.7,0.628,0.307,12.1,30.3,21.4,7.5,0.8,3.2,12.9,22.7,4.6,3.0,7.6,0.21,0.7,0.8,1.5,1.5
nikolavucevic,ORL,C,57,57,29.5,7.0,14.7,0.475,0.513,1.4,1.6,0.8190000000000001,1.8,7.4,9.2,3.4,1.0,1.1,1.9,2.5,16.5,0.5329999999999999,0.11199999999999999,6.6,27.8,17.1,19.9,1.6,3.0,11.0,25.9,1.3,2.3,3.6,0.102,0.6,2.1,2.7,2.0
dwyanewade,TOT,SG,67,3,22.9,4.5,10.2,0.43799999999999994,0.462,2.0,2.8,0.7140000000000001,0.7,3.0,3.8,3.4,0.9,0.7,2.1,1.9,11.4,0.5,0.27699999999999997,3.7,14.6,9.2,23.5,2.0,2.6,15.5,26.2,-0.4,1.6,1.1,0.036000000000000004,-2.4,0.3,-2.1,0.0
dionwaiters,MIA,SG,30,30,30.6,5.4,13.7,0.39799999999999996,0.461,1.7,2.3,0.7390000000000001,0.3,2.3,2.6,3.8,0.8,0.3,2.3,2.0,14.3,0.48700000000000004,0.168,1.0,8.5,4.7,19.8,1.3,0.8,13.7,25.0,-0.7,0.8,0.1,0.004,-2.0,-2.0,-4.0,-0.5
kembawalker,CHO,PG,80,80,34.2,7.4,17.0,0.431,0.516,4.5,5.3,0.8640000000000001,0.4,2.7,3.1,5.6,1.1,0.3,2.2,1.2,22.1,0.5720000000000001,0.308,1.2,8.7,4.9,27.4,1.6,0.7,10.4,27.4,6.5,2.0,8.5,0.15,5.1,-1.9,3.2,3.6
johnwall,WAS,PG,41,41,34.4,6.8,16.3,0.42,0.466,4.3,5.9,0.726,0.5,3.1,3.7,9.6,1.4,1.1,3.9,2.0,19.4,0.515,0.361,1.8,10.2,6.0,44.5,2.0,2.8,17.0,29.1,1.2,1.5,2.7,0.092,1.6,0.0,1.5,1.2
taureanwallerprince,ATL,SF,82,82,30.0,5.1,11.9,0.426,0.516,1.9,2.2,0.8440000000000001,0.6,4.1,4.7,2.6,1.0,0.5,2.3,2.0,14.1,0.5489999999999999,0.185,2.3,15.3,8.8,13.9,1.7,1.5,15.3,22.1,0.0,2.0,2.0,0.038,-0.7,0.0,-0.7,0.8
t,PHO,SF,65,65,33.0,8.1,16.4,0.498,0.507,3.0,3.9,0.757,1.9,3.2,5.1,1.3,1.0,0.6,1.3,2.3,19.6,0.541,0.24,6.1,10.5,8.3,7.2,1.5,1.5,6.7,24.9,2.6,0.8,3.4,0.077,-0.1,-1.7,-1.9,0.1
davidwest,GSW,C,73,0,13.7,3.0,5.2,0.5710000000000001,0.575,0.8,1.1,0.759,0.9,2.4,3.3,1.9,0.6,1.0,1.1,1.6,6.8,0.6,0.209,7.7,18.2,13.3,20.5,2.3,5.9,16.2,21.7,1.8,1.7,3.5,0.168,-0.2,3.2,3.0,1.3
russellwestbrook,OKC,PG,80,80,36.4,9.5,21.1,0.449,0.47700000000000004,5.2,7.1,0.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4,0.524,0.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,5.5,4.5,10.1,0.166,5.1,3.1,8.2,7.5
hassanwhiteside,MIA,C,54,54,25.3,5.8,10.7,0.54,0.542,2.4,3.4,0.703,3.2,8.2,11.4,1.0,0.7,1.7,1.7,2.4,14.0,0.573,0.315,14.3,36.6,25.4,6.9,1.4,5.9,12.3,24.7,2.3,3.0,5.3,0.187,-2.1,2.3,0.2,0.8
c,LAC,SG,38,17,18.6,2.3,5.2,0.442,0.49700000000000005,0.3,0.4,0.813,0.3,1.2,1.5,1.1,0.8,0.3,0.5,1.7,5.5,0.512,0.081,1.9,6.7,4.4,8.5,2.1,1.5,8.9,13.7,0.3,0.5,0.7,0.051,-1.3,-0.1,-1.4,0.1
louwilliams,LAC,SG,79,19,32.8,7.4,16.9,0.435,0.505,5.5,6.2,0.88,0.5,2.0,2.5,5.3,1.1,0.2,3.0,1.3,22.6,0.574,0.36700000000000005,1.7,6.6,4.2,26.3,1.6,0.6,13.1,29.8,5.5,1.2,6.7,0.125,3.8,-2.9,1.0,2.0
marvinwilliams,CHO,PF,78,78,25.7,3.3,7.2,0.45799999999999996,0.57,1.3,1.6,0.8290000000000001,0.9,3.8,4.7,1.2,0.7,0.5,0.8,1.5,9.5,0.603,0.218,3.9,16.2,10.0,7.0,1.4,1.6,9.7,14.8,3.1,1.9,5.0,0.11900000000000001,1.1,0.5,1.7,1.9
brandanwright,TOT,PF,28,1,13.6,2.1,3.6,0.578,0.578,0.8,1.2,0.636,1.2,2.2,3.4,0.5,0.5,0.9,0.3,1.1,5.0,0.596,0.324,9.8,19.3,14.4,5.6,1.7,6.4,6.4,14.7,0.8,0.5,1.3,0.163,-1.3,2.2,0.9,0.3
joeyoung,IND,PG,53,1,10.5,1.5,3.5,0.43,0.49700000000000005,0.4,0.5,0.759,0.2,1.0,1.2,0.7,0.3,0.0,0.5,0.7,3.9,0.521,0.156,2.4,10.3,6.4,9.9,1.3,0.2,11.6,18.0,0.1,0.4,0.5,0.043,-2.4,-2.3,-4.7,-0.4
nickyoung,GSW,SG,80,8,17.4,2.5,6.1,0.41200000000000003,0.5379999999999999,0.7,0.8,0.862,0.3,1.3,1.6,0.5,0.5,0.1,0.5,1.3,7.3,0.562,0.133,1.7,7.9,5.0,3.5,1.3,0.4,7.2,17.6,0.8,0.9,1.7,0.057999999999999996,-0.2,-3.4,-3.7,-0.6
thaddeusyoung,IND,PF,81,81,32.2,5.2,10.7,0.48700000000000004,0.521,0.7,1.1,0.598,2.3,4.0,6.3,1.9,1.7,0.4,1.3,2.2,11.8,0.528,0.106,8.0,14.1,11.1,8.5,2.6,1.2,10.4,17.3,2.3,3.2,5.5,0.10099999999999999,0.1,1.4,1.5,2.3
codyzeller,CHO,C,33,0,19.0,2.6,4.7,0.545,0.551,1.8,2.6,0.718,2.0,3.3,5.4,0.9,0.4,0.6,1.0,2.5,7.1,0.602,0.545,11.4,19.3,15.3,7.4,1.1,2.8,14.6,15.7,1.2,0.7,1.9,0.145,-0.6,1.3,0.7,0.4
tylerzeller,TOT,C,66,34,16.8,2.8,5.1,0.56,0.575,0.9,1.2,0.722,1.7,3.0,4.6,0.7,0.2,0.5,0.7,1.9,6.7,0.598,0.237,11.0,19.4,15.2,6.7,0.7,2.5,11.3,16.4,2.0,0.9,2.9,0.126,-1.1,-0.5,-1.6,0.1
