"","fix","Tm","Pos","G","GS","MP","FG","FGA","FG.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","average.salary","Year"
"163","tristanthompson","CLE","C",78,78,29.9,3.4,5.6,0.6,0.6,1.4,2.7,0.498,3.7,5.5,9.2,1,0.5,1.1,0.8,2.3,8.1,15.3,0.594,0.487,13.9,19.6,16.9,4.6,0.8,2.9,10.8,11.3,5,2.3,7.3,0.149,0,1.5,1.5,2,16400000,2017
"164","anthonytolliver","SAC","PF",65,9,22.7,2.4,5.4,0.442,0.57,0.9,1.3,0.744,0.8,2.9,3.6,1.2,0.5,0.3,0.9,1.7,7.1,11.1,0.595,0.234,4,14.4,9.3,7.7,1.2,1.2,12.6,13.6,1.5,0.8,2.3,0.075,0.2,-0.7,-0.4,0.6,3290000,2017
"165","evanturner","POR","SF",65,12,25.5,3.6,8.5,0.426,0.454,1.3,1.6,0.825,0.6,3.2,3.8,3.2,0.8,0.4,1.5,1.9,9,11.4,0.491,0.187,2.4,14.2,8.3,18.4,1.6,1.2,14.3,18.5,0,1.2,1.2,0.035,-2.5,-0.1,-2.6,-0.3,17500000,2017
"166","benoudrih","DET","PG",39,0,14.4,2.4,5.1,0.467,0.495,0.8,0.9,0.941,0.2,1.3,1.5,3.4,0.3,0,0.9,0.7,5.8,16.2,0.535,0.173,1.1,10.3,5.6,35.4,1.2,0,14.5,19.6,0.8,0.5,1.3,0.113,-0.5,-2.1,-2.5,-0.1,2328652,2017
"167","jonasvalanciunas","TOR","C",80,80,25.8,4.9,8.8,0.557,0.558,2.2,2.7,0.811,2.8,6.7,9.5,0.7,0.5,0.8,1.3,2.7,12,20.1,0.601,0.309,12.4,29.1,20.8,4.4,0.9,2.6,11.7,19.5,4.9,3,7.9,0.183,-0.5,-0.1,-0.6,0.7,16000000,2017
"168","nikolavucevic","ORL","C",75,55,28.8,6.4,13.7,0.468,0.48,1.4,2.1,0.669,2.3,8,10.4,2.8,1,1,1.6,2.4,14.6,19.1,0.498,0.155,8.6,31.3,19.6,16.9,1.7,2.8,9.6,24.8,0.8,3.1,4,0.088,-1.4,2.3,0.9,1.6,13250000,2017
"169","dwyanewade","CHI","SG",60,59,29.9,6.9,15.9,0.434,0.457,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,18.5,0.508,0.294,3.8,12.6,8.1,22.3,2.4,1.8,11.3,29.6,0.9,2.5,3.4,0.09,0.4,0.6,1,1.3,2328652,2017
"170","dionwaiters","MIA","SG",46,43,30.1,6.1,14.4,0.424,0.488,1.8,2.8,0.646,0.4,2.9,3.3,4.3,0.9,0.4,2.2,2.1,15.8,14.5,0.507,0.192,1.4,10.9,6.1,23.8,1.5,1.1,12.5,26.3,0.2,1.5,1.6,0.057,-0.1,-0.8,-0.9,0.4,13000000,2017
"171","kembawalker","CHO","PG",79,79,34.7,8.1,18.3,0.444,0.527,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,21.3,0.569,0.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,5.9,2.2,8.1,0.142,5.3,-1.7,3.6,3.9,12000000,2017
"172","johnwall","WAS","PG",78,78,36.4,8.3,18.4,0.451,0.482,5.4,6.8,0.801,0.8,3.4,4.2,10.7,2,0.6,4.1,1.9,23.1,23.2,0.541,0.367,2.4,10.6,6.5,46.9,2.7,1.4,16.2,30.6,5.8,3,8.8,0.149,3.8,0.2,4.1,4.3,16957900,2017
"173","davidwest","GSW","C",68,0,12.6,2,3.7,0.536,0.542,0.6,0.8,0.768,0.7,2.3,3,2.2,0.6,0.7,1.1,1.5,4.6,16.6,0.571,0.222,6.5,18.8,13,24.1,2.4,4.4,22,17.9,0.9,1.7,2.6,0.148,-1.7,3.9,2.2,0.9,2328652,2017
"174","russellwestbrook","OKC","PG",81,81,34.6,10.2,24,0.425,0.476,8.8,10.4,0.845,1.7,9,10.7,10.4,1.6,0.4,5.4,2.3,31.6,30.6,0.554,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,8.5,4.6,13.1,0.224,10.9,4.7,15.6,12.4,28530608,2017
"175","isaiahwhitehead","BRK","PG",73,26,22.5,2.8,7,0.402,0.445,1.2,1.5,0.805,0.4,2.1,2.5,2.6,0.6,0.5,1.9,2.4,7.4,7.6,0.487,0.222,2.1,9.7,5.9,17.7,1.2,1.7,20.3,18.2,-1.7,0.9,-0.8,-0.023,-4.3,-0.6,-4.9,-1.2,1146474,2017
"176","hassanwhiteside","MIA","C",77,77,32.6,7,12.6,0.557,0.557,2.9,4.6,0.628,3.8,10.3,14.1,0.7,0.7,2.1,2,2.9,17,22.6,0.579,0.368,12.8,35.3,24,3.8,1.1,5,12,22.7,4.2,5.3,9.5,0.181,-2,1.5,-0.5,0.9,24604885,2017
"177","marvinwilliams","CHO","PF",76,76,30.2,3.9,9.3,0.422,0.51,1.7,2,0.873,1.2,5.4,6.6,1.4,0.8,0.7,0.8,1.8,11.2,13.7,0.551,0.213,4.2,19.8,12,7.1,1.3,2,7.2,16.3,2.4,2.6,5,0.105,-0.3,0.5,0.2,1.3,13628125,2017
"178","brandanwright","MEM","PF",28,5,16,3,4.8,0.615,0.615,0.8,1.3,0.657,1.1,1.7,2.8,0.5,0.4,0.7,0.4,1.5,6.8,18.5,0.628,0.259,7.7,12.4,10,6,1.3,4.3,6.2,16.3,1.1,0.5,1.6,0.177,0,1.3,1.3,0.4,5709880,2017
"179","nickyoung","LAL","SG",60,60,25.9,4.5,10.6,0.43,0.564,1.3,1.5,0.856,0.4,1.9,2.3,1,0.6,0.2,0.6,2.3,13.2,14.1,0.588,0.142,1.7,8.2,4.8,5.8,1.2,0.7,5.1,19.5,3,0.2,3.2,0.098,2.7,-3.4,-0.7,0.5,5192000,2017
"180","thaddeusyoung","IND","PF",74,74,30.2,4.9,9.3,0.527,0.56,0.6,1.2,0.523,1.8,4.3,6.1,1.6,1.5,0.4,1.3,1.8,11,14.9,0.562,0.125,6.7,15.7,11.2,8.4,2.5,1.1,11.6,16.4,2,2.7,4.6,0.1,0,1.4,1.4,1.9,13500000,2017
"181","tylerzeller","BOS","C",51,5,10.3,1.5,3.1,0.494,0.494,0.4,0.8,0.564,0.8,1.6,2.4,0.8,0.1,0.4,0.4,1.2,3.5,13,0.508,0.247,9.2,17,13.2,12.2,0.7,3.3,10.2,16.5,0.5,0.6,1,0.094,-3.3,0.8,-2.5,-0.1,1821740,2017
"182","quincyacy","TOT","PF",38,1,14.7,1.8,4.5,0.412,0.521,1.2,1.6,0.75,0.5,2.5,3,0.5,0.4,0.4,0.6,1.8,5.8,11.8,0.565,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,0.5,0.5,0.9,0.082,-1.8,-1.2,-3,-0.1,1749815,2017
"183","andrewbogut","TOT","C",27,21,21.6,1.4,3,0.469,0.469,0.1,0.4,0.273,2.1,6,8.1,1.8,0.5,0.9,1.6,3.2,2.9,9.3,0.46,0.136,10.6,33.9,21.7,12.3,1.2,3.9,33.4,10.4,-0.3,1,0.7,0.055,-5.6,5.3,-0.3,0.3,2328652,2017
"184","coreybrewer","TOT","SF",82,11,15.6,1.8,4.2,0.422,0.461,0.6,0.8,0.735,0.4,1.6,2,1.2,0.7,0.2,0.7,1.6,4.5,9.1,0.491,0.195,2.7,11.6,7.1,10.7,2.3,1.3,12.7,14.3,0,1.2,1.2,0.045,-2.9,0.2,-2.7,-0.2,7806971,2017
"185","josecalderon","TOT","PG",41,13,13.1,1.3,3.3,0.41,0.485,0.3,0.3,0.917,0.4,1.4,1.8,2.1,0.3,0,1,0.9,3.4,8.9,0.506,0.09,3,12.2,7.5,23.3,1,0.2,22.7,14.4,0,0.3,0.3,0.023,-2.9,-1.8,-4.7,-0.4,2328652,2017
"186","omricasspi","TOT","SF",36,2,17.9,2.1,4.6,0.47,0.515,0.5,0.8,0.586,0.8,2.4,3.1,1,0.6,0.1,0.8,1.4,5.2,10,0.526,0.177,4.9,15.2,10.1,8.6,1.8,0.4,14.1,14.4,0.1,0.4,0.5,0.038,-2.4,-0.6,-3,-0.2,2106470,2017
"187","demarcuscousins","TOT","C",72,72,34.2,9,19.9,0.452,0.498,7.2,9.3,0.772,2.1,8.9,11,4.6,1.4,1.3,3.7,3.9,27,25.8,0.562,0.468,7,29.2,18.2,25.8,2,3.4,13.5,36.5,3.9,3.8,7.6,0.149,3.9,2.6,6.6,5.3,16404925,2017
"188","tyrekeevans","TOT","SF",40,6,19.7,3.8,9.3,0.405,0.462,1.7,2.3,0.75,0.3,3.1,3.4,3.1,0.9,0.2,1.5,1.5,10.3,15.5,0.501,0.249,1.8,17.2,9.5,25.9,2.2,1,12.9,26.7,-0.2,0.9,0.7,0.045,-0.7,-0.1,-0.9,0.2,3290000,2017
"189","tajgibson","TOT","PF",78,71,25.5,4.7,9.1,0.515,0.517,1.4,2,0.715,2,4.2,6.2,0.9,0.5,0.8,1.3,2.1,10.8,15,0.543,0.223,8.6,17.9,13.2,5.9,1,2.6,11.9,19.3,1.6,2.5,4,0.097,-2.4,0.3,-2.1,-0.1,14000000,2017
"190","sergeibaka","TOT","PF",79,79,30.7,6,12.4,0.48,0.543,1.4,1.6,0.856,1.6,5.2,6.8,0.9,0.5,1.6,1.3,2.7,14.8,16.4,0.566,0.127,5.7,19,12.2,5.2,0.8,4.2,9.2,20.9,2.5,2.6,5.1,0.101,-0.5,0.1,-0.4,1,21666667,2017
"191","ersanilyasova","TOT","PF",82,52,26.1,4.7,10.9,0.431,0.511,2,2.5,0.778,1.4,4.5,5.9,1.7,0.7,0.3,1.4,2.6,13.1,14.6,0.546,0.233,5.9,18.8,12.4,11,1.3,0.9,10.6,22.2,1.8,2.3,4.1,0.091,0.3,-0.8,-0.5,0.8,6000000,2017
"192","kylekorver","TOT","SG",67,22,26.2,3.6,7.7,0.464,0.621,0.6,0.6,0.905,0.1,2.7,2.8,1.6,0.5,0.3,1,1.6,10.1,12.1,0.635,0.082,0.5,11,5.8,9.4,1,1,11.5,15.2,2.3,1.3,3.7,0.1,0.8,-1,-0.2,0.8,7353333,2017
"193","anthonymorrow","TOT","SG",49,7,14.6,2,5.1,0.389,0.47,0.7,0.8,0.919,0.2,0.4,0.6,0.5,0.5,0,0.1,0.9,5.5,10.1,0.505,0.147,1.9,2.9,2.4,5.2,1.7,0.2,2.2,16.4,0.7,0.5,1.2,0.083,-1.2,-3.1,-4.3,-0.4,2116955,2017
"194","milesplumlee","TOT","C",45,12,10.8,1,2,0.478,0.478,0.6,0.9,0.641,0.8,1.3,2.1,0.5,0.4,0.3,0.7,1.6,2.5,8.4,0.518,0.424,9,13.3,11.1,6.1,1.9,2.4,21.6,13.1,-0.1,0.5,0.5,0.045,-4.4,0.7,-3.6,-0.2,12500000,2017
"195","terrenceross","TOT","SF",78,24,25.1,4.2,9.6,0.437,0.532,0.8,1,0.831,0.2,2.4,2.6,1.1,1.1,0.4,0.9,1.8,11,13.4,0.55,0.103,1,10.8,5.9,7.1,2.2,1.4,8,19.3,1.5,2,3.5,0.086,0.4,-0.6,-0.3,0.9,10500000,2017
"196","pjtucker","TOT","SF",81,21,27.6,2.5,6,0.413,0.485,0.9,1.1,0.774,1.4,4.4,5.8,1.2,1.4,0.2,0.8,2.4,6.7,10.5,0.516,0.193,5.6,17.7,11.6,6,2.5,0.7,11.2,11.2,1.4,2.2,3.6,0.078,-0.7,1.6,0.9,1.6,7969537,2017
