"","Player","Tm","Pos","G","GS","MP","FG","FGA","FG%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS/G","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","fix"
"1","Alex Abrines\abrinal01","OKC","SG",75,8,15.1,1.5,3.9,0.395,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,9,0.567,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,0.094,-0.5,-1.7,-2.2,-0.1,"alexabrines"
"2","Quincy Acy\acyqu01","BRK","PF",70,8,19.4,1.9,5.2,0.356,0.496,0.7,0.9,0.817,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9,8.2,0.525,0.164,3.1,17,10,6,1.2,1.6,13.3,14.4,-0.1,1.1,1,0.036,-2,-0.2,-2.2,-0.1,"quincyacy"
"3","Steven Adams\adamsst01","OKC","C",76,76,32.7,5.9,9.4,0.629,0.629,2.1,3.8,0.557,5.1,4,9,1.2,1.2,1,1.7,2.8,13.9,20.6,0.63,0.403,16.6,13.9,15.3,5.5,1.8,2.8,13.2,16.7,6.7,3,9.7,0.187,2.2,1.1,3.3,3.3,"stevenadams"
"4","Bam Adebayo\adebaba01","MIA","C",69,19,19.8,2.5,4.9,0.512,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1,2,6.9,15.7,0.57,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.148,-1.6,1.8,0.2,0.8,"bamadebayo"
"5","Arron Afflalo\afflaar01","ORL","SG",53,3,12.9,1.2,3.1,0.401,0.485,0.4,0.5,0.846,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,3.4,5.8,0.516,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,0.009,-4.1,-1.8,-5.8,-0.7,"arronafflalo"
"6","LaMarcus Aldridge\aldrila01","SAS","C",75,75,33.5,9.2,18,0.51,0.52,4.5,5.3,0.837,3.3,5.2,8.5,2,0.6,1.2,1.5,2.2,23.1,25,0.57,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,7.4,3.5,10.9,0.209,3,0.3,3.3,3.3,"lamarcusaldridge"
"7","Jarrett Allen\allenja01","BRK","C",72,31,20,3.3,5.5,0.589,0.596,1.6,2,0.776,2,3.4,5.4,0.7,0.4,1.2,1.1,2,8.2,17.5,0.636,0.37,10.5,18.2,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,0.141,-1.3,1.4,0.2,0.8,"jarrettallen"
"8","Al-Farouq Aminu\aminual01","POR","PF",69,67,30,3.3,8.4,0.395,0.503,0.9,1.2,0.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2,9.3,12,0.522,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.097,-0.8,1.9,1.1,1.6,"alfarouqaminu"
"9","Justin Anderson\anderju01","PHI","SF",38,0,13.7,2.3,5.3,0.431,0.515,0.7,1,0.737,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,6.2,13,0.54,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.6,0.7,1.2,0.115,-0.5,-1.5,-2,0,"justinanderson"
"10","Kyle Anderson\anderky01","SAS","SF",74,67,26.7,3.1,5.9,0.527,0.549,1.4,2,0.712,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9,15.9,0.582,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,0.151,-0.3,4.3,4.1,3,"kyleanderson"
"11","Ryan Anderson\anderry01","HOU","PF",66,50,26.1,3.1,7.3,0.431,0.568,1.1,1.4,0.774,1.4,3.6,5,0.9,0.4,0.3,0.6,1.9,9.3,12.6,0.592,0.194,6.2,15.4,10.8,5.1,0.7,1,7.5,14.4,3.1,1.7,4.8,0.132,1,-0.8,0.2,1,"ryananderson"
"12","Giannis Antetokounmpo\antetgi01","MIL","PF",75,75,36.7,9.9,18.7,0.529,0.545,6.5,8.5,0.76,2.1,8,10,4.8,1.5,1.4,3,3.1,26.9,27.3,0.598,0.457,6.7,25.3,16,23.7,2,3.3,11.7,31.2,8.3,3.6,11.9,0.207,3.9,1.9,5.8,5.4,"giannisantetokounmpo"
"13","Carmelo Anthony\anthoca01","OKC","PF",78,78,32.1,6.1,15,0.404,0.476,1.9,2.5,0.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,12.7,0.503,0.165,2.9,17.7,10,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-1.9,-1.9,-3.8,-1.1,"carmeloanthony"
"14","OG Anunoby\anunoog01","TOR","SF",74,62,20,2.2,4.7,0.471,0.577,0.5,0.8,0.629,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.8,5.9,10,0.587,0.179,3.4,10.4,7,5,1.7,0.8,10.8,12.4,1.4,1.6,3,0.098,0.2,0.4,0.6,1,"oganunoby"
"15","Trevor Ariza\arizatr01","HOU","SF",67,67,33.9,4,9.7,0.412,0.542,1.1,1.3,0.854,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2,11.7,11.8,0.567,0.137,1.7,12.9,7.3,6.8,2.1,0.5,7,14.4,2.6,2.8,5.3,0.113,0.8,0.7,1.5,2,"trevorariza"
"16","D.J. Augustin\augusdj01","ORL","PG",75,36,23.5,3.3,7.2,0.452,0.557,2.2,2.5,0.868,0.4,1.7,2.1,3.8,0.7,0,1.6,1.3,10.2,15.4,0.615,0.35,1.9,8.2,5,24.4,1.5,0,16.5,18.6,3.3,0.8,4.1,0.11,1.5,-2.5,-0.9,0.5,"d"
"17","Luke Babbitt\babbilu01","TOT","SF",50,14,14.3,1.8,4.3,0.423,0.563,0.3,0.4,0.773,0.1,1.8,1.9,0.6,0.2,0.1,0.4,1.1,5.2,9.8,0.576,0.102,1.1,13.9,7.5,6.5,0.5,0.8,7.8,15,0.5,0.4,0.9,0.06,-1,-2.2,-3.2,-0.2,"lukebabbitt"
"18","Dwayne Bacon\bacondw01","CHO","SG",53,6,13.5,1.4,3.6,0.375,0.404,0.4,0.5,0.8,0.1,2.3,2.3,0.7,0.3,0,0.4,0.9,3.3,5.8,0.431,0.13,0.6,18.5,9.4,7.5,1.1,0.2,10.2,13.7,-0.7,0.6,-0.1,-0.007,-5.4,-0.3,-5.7,-0.7,"dwaynebacon"
"19","Ron Baker\bakerro01","NYK","SG",29,1,13.3,0.7,2,0.339,0.432,0.7,0.9,0.769,0.2,0.9,1,1.6,0.9,0.2,0.6,1.1,2.4,9.3,0.504,0.441,1.4,7.2,4.3,15.5,3.3,1.3,20.4,10,0.1,0.4,0.5,0.059,-1.9,0.9,-1,0.1,"ronbaker"
"20","Lonzo Ball\balllo01","LAL","PG",52,50,34.2,3.9,10.8,0.36,0.44,0.6,1.4,0.451,1.3,5.6,6.9,7.2,1.7,0.8,2.6,2.3,10.2,12.5,0.444,0.126,4.2,17.3,10.8,29.2,2.4,2,18.6,17.4,-0.5,2.5,2,0.053,-0.8,2.5,1.7,1.7,"lonzoball"
