fix,Tm,Pos,G,GS,MP,FG,FGA,FG.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,PER,TS.,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,average salary,Year
leandrobarbosa,GSW,SG,68,0,15.9,2.5,5.4,0.462,0.515,0.8,0.9,0.8390000000000001,0.4,1.3,1.7,1.2,0.6,0.1,0.8,1.6,6.4,11.7,0.545,0.168,3.0,8.4,5.8,10.6,2.0,0.7,11.8,18.1,0.9,1.2,2.1,0.092,-1.2,-0.9,-2.1,0.0,4000000,2016
harrisonbarnes,GSW,SF,66,59,30.9,4.5,9.6,0.466,0.531,1.5,2.0,0.7609999999999999,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7,12.3,0.5589999999999999,0.212,4.3,12.4,8.6,7.8,1.0,0.4,7.6,15.9,3.1,1.9,4.9,0.11599999999999999,0.4,-0.6,-0.2,0.9,23609631,2016
mattbarnes,MEM,SF,76,45,28.8,3.5,9.1,0.381,0.467,1.5,1.8,0.804,1.1,4.4,5.5,2.1,1.0,0.8,1.6,3.1,10.0,11.7,0.503,0.19899999999999998,4.2,18.3,10.9,11.6,1.8,2.4,13.8,17.9,0.4,2.2,2.6,0.055999999999999994,-0.4,0.8,0.4,1.3,383351,2016
willbarton,DEN,SG,82,1,28.7,5.2,12.0,0.43200000000000005,0.489,2.6,3.3,0.8059999999999999,0.7,5.1,5.8,2.5,0.9,0.5,1.7,1.8,14.4,16.0,0.535,0.273,2.7,20.0,11.2,14.4,1.5,1.3,11.2,23.0,2.4,1.9,4.3,0.08800000000000001,0.3,-0.4,-0.1,1.1,3533333,2016
brandonbass,LAL,PF,66,0,20.3,2.6,4.8,0.5489999999999999,0.5489999999999999,1.9,2.2,0.845,1.6,2.7,4.3,1.1,0.5,0.8,0.6,1.9,7.2,17.4,0.619,0.467,8.1,15.0,11.4,9.2,1.2,3.2,9.9,13.9,3.4,0.7,4.1,0.146,0.1,0.7,0.8,1.0,1551659,2016
nicolasbatum,CHO,SF,70,70,35.0,5.3,12.5,0.426,0.506,2.3,2.7,0.8490000000000001,0.8,5.3,6.1,5.8,0.9,0.6,2.9,1.6,14.9,15.6,0.546,0.22,2.4,16.8,9.6,26.9,1.3,1.4,17.6,21.4,2.0,2.9,5.0,0.09699999999999999,1.1,0.9,2.0,2.5,24000000,2016
jerrydbayless,MIL,SG,52,18,28.9,3.6,8.4,0.423,0.539,1.3,1.7,0.778,0.4,2.3,2.7,3.1,0.9,0.2,1.4,2.1,10.4,12.4,0.568,0.20600000000000002,1.6,9.0,5.4,16.2,1.6,0.6,13.3,16.4,1.8,0.6,2.4,0.075,1.1,-2.1,-1.0,0.4,9000000,2016
aronbaynes,DET,C,81,1,15.2,2.4,4.7,0.505,0.505,1.6,2.0,0.764,1.7,3.0,4.7,0.6,0.3,0.6,0.8,1.9,6.3,17.8,0.563,0.43,11.9,22.5,17.0,6.6,0.9,3.2,12.8,18.5,2.4,1.7,4.1,0.158,-1.3,1.1,-0.2,0.6,6500000,2016
kentbazemore,ATL,SF,75,68,27.8,4.3,9.7,0.441,0.517,1.6,2.0,0.815,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,11.6,13.4,0.551,0.20800000000000002,1.5,18.0,9.9,12.7,2.3,1.4,14.8,20.0,0.3,3.8,4.1,0.094,-1.3,1.6,0.3,1.2,17500000,2016
bradleybeal,WAS,SG,55,35,31.1,6.5,14.5,0.449,0.515,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1.0,0.2,2.0,2.1,17.4,15.5,0.547,0.22,2.6,9.8,6.2,15.6,1.5,0.5,11.3,25.3,1.4,1.3,2.7,0.076,1.0,-1.6,-0.6,0.6,25434263,2016
marcobelinelli,SAC,SG,68,7,24.6,3.6,9.3,0.386,0.457,1.7,2.0,0.833,0.1,1.6,1.7,1.9,0.5,0.0,1.2,1.3,10.2,9.4,0.5,0.217,0.7,6.9,3.8,11.1,1.1,0.1,10.3,19.7,0.2,0.3,0.5,0.013999999999999999,-1.3,-2.9,-4.2,-0.9,6333333,2016
patrickbeverley,HOU,PG,71,63,28.7,3.6,8.4,0.434,0.539,0.8,1.2,0.682,1.0,2.5,3.5,3.4,1.3,0.4,1.3,3.3,9.9,13.0,0.5529999999999999,0.14800000000000002,3.9,9.6,6.8,17.9,2.3,1.1,12.6,15.3,3.1,1.3,4.4,0.102,1.4,-0.3,1.1,1.6,5756757,2016
bismackbiyombo,TOR,C,82,22,22.0,1.9,3.5,0.542,0.542,1.7,2.8,0.628,2.2,5.8,8.0,0.4,0.2,1.6,0.9,2.7,5.5,14.9,0.586,0.785,11.7,29.5,20.8,2.4,0.5,6.1,15.5,11.5,2.8,3.1,5.9,0.156,-2.4,2.3,-0.1,0.9,18000000,2016
nemanjabjelica,MIN,PF,60,0,17.9,1.8,3.9,0.46799999999999997,0.57,0.7,0.9,0.727,0.8,2.7,3.5,1.4,0.4,0.4,0.8,2.6,5.1,11.2,0.594,0.23399999999999999,5.4,17.2,11.4,11.4,1.2,1.6,15.3,12.8,1.4,0.6,1.9,0.087,0.5,-0.2,0.3,0.6,3900000,2016
tarikblack,LAL,C,39,0,12.7,1.5,2.7,0.5479999999999999,0.5479999999999999,0.5,1.2,0.42200000000000004,1.1,2.9,4.0,0.4,0.4,0.5,0.6,2.0,3.4,12.3,0.537,0.433,9.2,25.4,17.0,5.2,1.4,2.9,15.1,12.9,0.3,0.4,0.7,0.07200000000000001,-4.0,0.6,-3.4,-0.2,6423163,2016
ericbledsoe,PHO,PG,31,31,34.2,7.2,15.9,0.45299999999999996,0.502,4.5,5.5,0.802,0.6,3.5,4.0,6.1,2.0,0.6,3.5,2.4,20.4,20.0,0.557,0.35,1.8,11.2,6.4,31.8,2.9,1.5,16.2,27.2,1.6,1.0,2.5,0.11599999999999999,2.7,0.1,2.8,1.3,14000000,2016
bojanbogdanovic,BRK,SF,79,39,26.8,4.1,9.5,0.433,0.519,1.4,1.7,0.833,0.5,2.8,3.2,1.3,0.4,0.1,1.5,1.5,11.2,10.7,0.55,0.17600000000000002,1.9,11.8,6.8,7.3,0.7,0.2,12.5,19.4,0.9,0.0,0.9,0.021,-0.5,-2.9,-3.4,-0.8,3425510,2016
andrewbogut,GSW,C,70,66,20.7,2.5,4.0,0.627,0.629,0.3,0.7,0.48,1.7,5.3,7.0,2.3,0.5,1.6,1.2,3.2,5.4,15.9,0.623,0.179,9.5,26.0,18.3,14.8,1.1,5.8,21.6,11.4,2.6,2.9,5.4,0.18,-0.6,5.1,4.5,2.4,7848649,2016
devinbooker,PHO,SG,76,51,27.7,4.8,11.4,0.423,0.48,2.8,3.4,0.84,0.4,2.1,2.5,2.6,0.6,0.3,2.1,3.0,13.8,11.9,0.535,0.295,1.4,8.4,4.8,15.8,1.0,0.8,14.0,23.0,1.2,0.7,1.9,0.043,-0.6,-2.4,-3.1,-0.6,2223600,2016
chrisbosh,MIA,PF,53,53,33.5,6.8,14.5,0.467,0.52,4.0,5.1,0.795,0.9,6.5,7.4,2.4,0.7,0.6,1.5,1.9,19.1,20.2,0.5710000000000001,0.349,3.2,21.1,12.4,12.1,1.0,1.5,8.1,24.7,4.1,2.3,6.4,0.172,2.3,-0.3,2.1,1.8,23741060,2016
averybradley,BOS,SG,76,72,33.4,6.0,13.4,0.447,0.52,1.3,1.6,0.78,0.6,2.3,2.9,2.1,1.5,0.3,1.4,2.2,15.2,13.2,0.5379999999999999,0.121,2.0,7.3,4.6,9.8,2.2,0.6,9.2,19.8,2.0,2.8,4.8,0.09,0.5,-0.3,0.2,1.4,8000000,2016
coreybrewer,HOU,SF,82,12,20.4,2.6,6.7,0.384,0.439,1.3,1.7,0.75,0.5,1.9,2.4,1.3,1.0,0.2,1.0,2.0,7.2,9.9,0.48100000000000004,0.254,2.8,10.4,6.6,10.0,2.5,0.9,11.3,17.8,0.1,1.2,1.2,0.035,-2.2,-1.0,-3.1,-0.5,5373298,2016
aaronbrooks,CHI,PG,69,0,16.1,2.7,6.8,0.401,0.47100000000000003,0.7,0.9,0.7659999999999999,0.3,1.2,1.5,2.6,0.4,0.1,1.2,1.9,7.1,11.8,0.494,0.136,2.0,7.5,4.8,26.0,1.4,0.7,14.2,22.9,0.2,0.7,0.9,0.04,-0.5,-2.8,-3.3,-0.4,2700000,2016
anthonybrown,LAL,SF,29,11,20.7,1.3,4.3,0.31,0.389,0.6,0.7,0.85,0.3,2.1,2.4,0.7,0.5,0.2,0.5,1.2,4.0,4.9,0.42700000000000005,0.159,1.6,11.3,6.3,4.8,1.2,0.7,10.0,11.0,-0.4,0.1,-0.3,-0.024,-4.0,-1.1,-5.0,-0.5,5145,2016
reggiebullock,DET,SF,37,0,11.6,1.2,2.6,0.439,0.551,0.4,0.4,0.9329999999999999,0.4,1.5,1.8,0.7,0.3,0.1,0.2,0.8,3.3,12.0,0.583,0.153,3.4,14.3,8.6,9.2,1.2,0.4,7.1,11.4,0.8,0.4,1.2,0.134,0.0,0.0,0.0,0.2,1464451,2016
treyburke,UTA,PG,64,0,21.3,4.1,9.9,0.413,0.483,1.0,1.3,0.8170000000000001,0.3,1.5,1.8,2.3,0.5,0.1,1.3,1.3,10.6,14.0,0.507,0.129,1.5,8.0,4.8,19.7,1.4,0.4,10.7,25.3,0.9,1.2,2.1,0.07400000000000001,0.4,-2.5,-2.0,0.0,2758040,2016
alecburks,UTA,SG,31,3,25.7,4.4,10.8,0.41,0.45799999999999996,3.4,4.5,0.752,0.5,3.0,3.5,2.0,0.6,0.1,1.6,2.3,13.3,14.3,0.52,0.42200000000000004,2.4,13.6,8.0,13.9,1.2,0.4,11.4,25.9,0.7,0.8,1.5,0.09,-0.9,-1.6,-2.5,-0.1,10500000,2016
jimmybutler,CHI,SG,67,67,36.9,7.0,15.4,0.45399999999999996,0.485,5.9,7.1,0.8320000000000001,1.2,4.2,5.3,4.8,1.6,0.6,2.0,1.9,20.9,21.3,0.562,0.45899999999999996,3.4,11.6,7.6,21.4,2.2,1.3,9.6,24.4,6.5,2.7,9.1,0.177,3.6,0.3,4.0,3.7,18467976,2016
josecalderon,NYK,PG,72,72,28.1,2.9,6.3,0.45899999999999996,0.552,0.6,0.7,0.875,0.3,2.9,3.2,4.1,0.9,0.1,1.2,1.9,7.6,12.3,0.5710000000000001,0.105,1.2,11.0,6.2,22.3,1.6,0.3,15.4,12.6,2.7,1.4,4.0,0.096,0.5,-0.6,-0.1,1.0,392478,2016
kentaviouscaldwellpope,DET,SG,76,76,36.7,5.3,12.6,0.42,0.479,2.4,3.0,0.8109999999999999,0.9,2.8,3.7,1.8,1.4,0.2,1.4,2.2,14.5,12.4,0.521,0.23800000000000002,2.6,8.6,5.5,7.8,2.0,0.5,9.0,18.2,2.6,2.7,5.3,0.092,0.6,0.6,1.1,2.2,2998910,2016
isaiahcanaan,PHI,SG,77,39,25.5,3.4,9.4,0.36,0.48200000000000004,1.9,2.3,0.833,0.3,2.0,2.3,1.8,0.7,0.2,1.2,1.7,11.0,11.1,0.528,0.249,1.1,8.8,4.8,11.3,1.4,0.5,10.2,19.9,0.9,0.5,1.4,0.035,0.2,-2.9,-2.7,-0.4,1051721,2016
clintcapela,HOU,C,77,35,19.1,3.0,5.2,0.5820000000000001,0.5820000000000001,1.0,2.7,0.379,2.5,3.9,6.4,0.6,0.8,1.2,0.8,2.5,7.0,18.3,0.5529999999999999,0.531,14.4,22.7,18.5,5.1,2.0,5.2,10.9,16.1,2.4,2.0,4.4,0.14400000000000002,-1.2,1.7,0.5,0.9,1515672,2016
demarrecarroll,TOR,SF,26,22,30.2,4.0,10.4,0.389,0.474,1.2,1.9,0.6,1.2,3.5,4.7,1.0,1.7,0.2,1.1,2.4,11.0,11.9,0.49,0.185,4.6,13.1,8.9,5.5,2.9,0.6,8.8,18.5,0.2,1.0,1.2,0.07400000000000001,0.0,0.3,0.2,0.4,14500000,2016
vincecarter,MEM,SG,60,3,16.8,2.2,5.7,0.38799999999999996,0.474,1.2,1.4,0.833,0.5,1.9,2.4,0.9,0.6,0.3,0.6,1.7,6.6,12.7,0.52,0.245,3.4,13.6,8.3,8.9,1.9,1.5,8.4,18.5,1.0,0.8,1.8,0.084,-0.1,-1.2,-1.2,0.2,4088019,2016
michaelcarterwilliams,MIL,PG,54,37,30.5,4.6,10.3,0.452,0.466,2.0,3.0,0.654,0.9,4.2,5.1,5.2,1.5,0.8,2.8,3.0,11.5,13.9,0.49700000000000005,0.292,3.4,15.7,9.6,26.6,2.5,2.1,19.6,21.3,-0.4,1.6,1.2,0.035,-1.6,0.9,-0.8,0.5,2520882,2016
omricasspi,SAC,SF,69,21,27.2,4.3,9.0,0.48100000000000004,0.5710000000000001,1.5,2.3,0.648,0.8,5.1,5.9,1.4,0.8,0.2,1.4,2.2,11.8,13.9,0.5870000000000001,0.256,3.4,20.1,11.8,7.5,1.4,0.7,12.0,17.8,2.1,1.5,3.6,0.092,0.3,-0.6,-0.3,0.8,185710,2016
williecauleystein,SAC,C,66,39,21.4,2.9,5.1,0.563,0.563,1.2,1.9,0.648,2.0,3.3,5.3,0.6,0.7,1.0,0.7,2.2,7.0,15.3,0.588,0.369,10.3,16.6,13.5,3.8,1.6,3.8,10.5,13.2,2.4,1.4,3.8,0.13,-0.8,1.5,0.7,1.0,3551200,2016
tysonchandler,PHO,C,66,60,24.5,2.8,4.8,0.583,0.583,1.6,2.6,0.62,2.7,6.1,8.7,1.0,0.5,0.7,1.4,2.2,7.2,14.7,0.606,0.545,11.5,27.5,19.3,6.0,1.1,2.2,19.3,12.7,2.1,1.6,3.8,0.11199999999999999,-1.9,1.3,-0.5,0.6,13000000,2016
ianclark,GSW,SG,66,1,8.8,1.3,3.1,0.441,0.515,0.4,0.5,0.8240000000000001,0.2,0.8,1.0,1.0,0.3,0.2,0.7,0.9,3.6,11.5,0.544,0.168,2.6,9.7,6.3,15.3,1.4,1.7,16.5,19.5,0.3,0.6,0.9,0.075,-1.8,-1.3,-3.0,-0.2,1015696,2016
jordanclarkson,LAL,SG,79,79,32.3,6.0,13.9,0.433,0.483,2.1,2.6,0.804,1.2,2.8,4.0,2.4,1.1,0.1,1.7,2.1,15.5,14.3,0.516,0.18600000000000003,3.8,9.6,6.6,13.8,1.7,0.2,10.2,22.8,1.7,0.4,2.1,0.039,0.6,-2.0,-1.4,0.4,12500000,2016
norriscole,NOP,PG,45,23,26.6,4.4,10.8,0.405,0.439,1.2,1.4,0.8,0.2,3.1,3.4,3.7,0.8,0.1,1.7,2.3,10.6,10.8,0.465,0.134,0.9,13.5,7.0,22.0,1.5,0.3,12.8,21.7,-0.6,0.5,-0.1,-0.004,-2.4,-1.4,-3.7,-0.5,288131,2016
darrencollison,SAC,PG,74,15,30.0,5.1,10.5,0.486,0.542,2.6,3.1,0.858,0.4,1.9,2.3,4.3,1.0,0.1,1.8,1.9,14.0,15.9,0.591,0.29100000000000004,1.4,6.8,4.1,21.7,1.6,0.1,12.9,19.2,4.5,0.7,5.2,0.113,1.8,-2.2,-0.4,0.9,5013559,2016
nickcollison,OKC,PF,59,4,11.8,0.8,1.8,0.45899999999999996,0.45899999999999996,0.4,0.6,0.6970000000000001,1.2,1.7,2.9,0.9,0.3,0.3,0.8,1.8,2.1,7.7,0.498,0.303,11.2,15.2,13.3,9.6,1.1,1.7,28.8,10.6,0.1,0.7,0.8,0.053,-2.5,1.3,-1.2,0.1,3750000,2016
mikeconley,MEM,PG,56,56,31.4,5.3,12.4,0.42200000000000004,0.478,3.4,4.1,0.8340000000000001,0.5,2.5,2.9,6.1,1.2,0.3,1.5,1.8,15.3,19.4,0.5379999999999999,0.32899999999999996,1.6,9.3,5.3,32.7,2.0,0.8,9.5,22.4,4.2,1.1,5.3,0.145,3.7,-1.9,1.7,1.7,30521115,2016
patconnaughton,POR,SG,34,0,4.2,0.4,1.4,0.265,0.316,0.1,0.1,1.0,0.3,0.6,0.9,0.3,0.1,0.0,0.3,0.2,1.1,4.6,0.35200000000000004,0.102,8.3,15.9,12.1,9.9,0.7,0.0,16.3,18.7,-0.3,0.1,-0.2,-0.076,-5.8,-2.4,-8.2,-0.2,838158,2016
demarcuscousins,SAC,C,65,65,34.6,9.2,20.5,0.451,0.47700000000000004,7.3,10.2,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9,23.6,0.5379999999999999,0.498,7.7,28.2,18.0,17.0,2.2,3.3,13.3,35.4,2.4,3.3,5.7,0.122,1.0,1.6,2.6,2.6,11172264,2016
robertcovington,PHI,SF,67,49,28.4,4.1,10.6,0.385,0.504,2.1,2.6,0.7909999999999999,1.0,5.3,6.3,1.4,1.6,0.6,2.1,3.5,12.8,13.2,0.5429999999999999,0.249,3.6,20.9,12.0,8.4,2.7,1.6,15.3,21.5,-0.1,2.1,2.0,0.05,-0.2,0.0,-0.2,0.9,1148232,2016
allencrabbe,POR,SG,81,8,26.0,3.8,8.4,0.45899999999999996,0.541,1.2,1.4,0.867,0.3,2.3,2.7,1.2,0.8,0.2,0.8,2.4,10.3,12.2,0.5720000000000001,0.16699999999999998,1.4,9.7,5.6,7.2,1.5,0.6,8.1,16.4,3.1,1.2,4.3,0.098,0.4,-1.1,-0.7,0.7,18708125,2016
jamalcrawford,LAC,SG,79,5,26.9,4.8,11.9,0.40399999999999997,0.466,3.1,3.4,0.904,0.3,1.6,1.8,2.3,0.7,0.2,1.4,1.5,14.2,14.0,0.529,0.289,1.0,6.3,3.7,14.0,1.2,0.4,9.6,24.9,1.8,1.5,3.3,0.076,-0.2,-2.4,-2.6,-0.3,14000000,2016
jaecrowder,BOS,SF,73,73,31.6,4.9,11.1,0.44299999999999995,0.518,2.7,3.3,0.82,1.0,4.2,5.1,1.8,1.7,0.5,1.1,2.7,14.2,15.8,0.565,0.294,3.2,14.2,8.6,8.9,2.7,1.2,8.3,18.5,3.8,3.5,7.3,0.152,1.5,1.3,2.8,2.8,7000000,2016
sethcurry,SAC,PG,44,9,15.7,2.3,5.1,0.455,0.5670000000000001,1.0,1.2,0.833,0.2,1.2,1.4,1.5,0.5,0.1,0.8,0.9,6.8,13.8,0.603,0.24100000000000002,1.4,7.9,4.7,14.2,1.5,0.4,12.7,17.4,1.2,0.2,1.4,0.09699999999999999,0.9,-2.4,-1.5,0.1,2963205,2016
stephencurry,GSW,PG,79,79,34.2,10.2,20.2,0.504,0.63,4.6,5.1,0.9079999999999999,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,31.5,0.669,0.25,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,13.8,4.1,17.9,0.318,12.4,0.1,12.5,9.8,11000000,2016
troydaniels,CHO,SG,43,0,11.1,2.1,4.3,0.47600000000000003,0.634,0.1,0.2,0.556,0.2,1.2,1.3,0.5,0.3,0.1,0.6,0.9,5.6,14.9,0.634,0.048,1.6,11.6,6.5,7.6,1.2,0.5,11.2,20.4,0.6,0.4,1.1,0.11,1.6,-2.7,-1.1,0.1,3333336,2016
eddavis,POR,PF,81,0,20.8,2.5,4.2,0.611,0.611,1.4,2.5,0.5589999999999999,2.8,4.6,7.4,1.1,0.7,0.9,0.8,2.5,6.5,18.7,0.616,0.605,14.4,24.2,19.3,7.7,1.7,3.3,13.0,12.7,4.4,2.3,6.7,0.192,0.8,2.5,3.3,2.3,6666667,2016
dewaynededmon,ORL,C,58,20,12.2,1.7,3.1,0.5589999999999999,0.5589999999999999,1.0,1.3,0.75,1.2,2.8,3.9,0.2,0.4,0.8,0.6,1.9,4.4,17.0,0.606,0.429,10.4,25.7,17.9,2.7,1.6,5.4,13.2,15.2,1.2,1.1,2.4,0.162,-2.6,1.3,-1.3,0.1,2963205,2016
matthewdellavedova,CLE,PG,76,14,24.6,2.7,6.7,0.405,0.501,0.8,0.9,0.8640000000000001,0.4,1.7,2.1,4.4,0.6,0.1,1.5,2.3,7.5,11.3,0.527,0.129,2.0,7.8,4.9,26.2,1.2,0.4,17.7,15.9,2.2,1.6,3.8,0.098,-0.2,-1.4,-1.6,0.2,9607500,2016
luoldeng,MIA,PF,74,73,32.4,4.6,10.1,0.455,0.514,2.0,2.6,0.755,1.5,4.5,6.0,1.9,1.0,0.4,1.1,1.6,12.3,15.0,0.5489999999999999,0.258,5.3,15.4,10.5,9.0,1.6,0.9,8.9,17.4,3.5,2.8,6.4,0.128,1.3,0.6,1.9,2.3,18000000,2016
demarderozan,TOR,SG,78,78,35.9,7.9,17.7,0.446,0.46299999999999997,7.1,8.4,0.85,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5,21.5,0.55,0.474,2.7,11.5,7.1,20.8,1.5,0.6,9.5,29.8,7.5,2.4,9.9,0.16899999999999998,2.7,-1.2,1.4,2.4,27800000,2016
borisdiaw,SAS,PF,76,4,18.2,2.7,5.0,0.527,0.56,0.7,1.0,0.737,0.8,2.3,3.1,2.3,0.3,0.3,1.3,1.3,6.4,14.0,0.5820000000000001,0.198,4.9,13.9,9.6,18.4,1.0,1.2,18.9,17.0,1.6,2.2,3.8,0.132,-0.1,1.4,1.2,1.1,7000000,2016
gorguidieng,MIN,C,82,39,27.1,3.8,7.1,0.532,0.537,2.5,3.0,0.8270000000000001,1.9,5.2,7.1,1.7,1.1,1.2,1.7,2.7,10.1,17.1,0.601,0.428,8.3,22.1,15.3,10.1,2.1,3.5,16.9,16.7,3.4,2.5,5.9,0.127,0.0,2.4,2.4,2.5,1647336,2016
toneydouglas,NOP,PG,61,18,20.7,3.0,7.3,0.41100000000000003,0.502,1.4,1.6,0.848,0.4,1.9,2.3,2.6,1.1,0.1,1.0,2.1,8.7,14.7,0.5429999999999999,0.222,2.1,10.7,6.3,19.1,2.8,0.3,11.6,19.4,1.6,0.9,2.5,0.094,1.4,-0.9,0.5,0.8,7738,2016
gorandragic,MIA,PG,72,72,32.8,5.8,12.2,0.47700000000000004,0.513,1.7,2.3,0.727,0.8,3.1,3.8,5.8,1.0,0.2,2.6,2.6,14.1,15.5,0.537,0.18899999999999997,2.7,10.4,6.6,28.7,1.5,0.6,16.3,21.9,2.4,2.3,4.7,0.096,1.3,-0.6,0.7,1.6,17000450,2016
andredrummond,DET,C,81,81,32.9,6.8,13.1,0.521,0.522,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3.0,16.2,21.2,0.499,0.5529999999999999,15.6,34.2,24.5,4.4,2.3,3.2,10.5,24.1,2.0,5.5,7.4,0.133,-2.1,1.6,-0.5,1.0,25434263,2016
jareddudley,WAS,PF,81,41,25.9,2.9,6.0,0.478,0.581,0.9,1.2,0.735,0.7,2.9,3.5,2.1,0.9,0.2,1.0,2.3,7.9,11.7,0.602,0.201,2.8,12.6,7.6,11.4,1.7,0.7,13.1,12.7,2.6,2.0,4.6,0.105,0.3,0.6,1.0,1.6,10000000,2016
mikedunleavy,CHI,SF,31,30,22.7,2.5,6.1,0.41,0.513,0.9,1.2,0.784,0.3,2.4,2.7,1.3,0.5,0.3,0.8,2.1,7.2,9.1,0.5429999999999999,0.19699999999999998,1.2,11.0,6.2,8.1,1.0,1.0,11.3,14.4,0.4,0.5,0.9,0.063,-1.2,-0.9,-2.1,0.0,4837500,2016
kevindurant,OKC,SF,72,72,35.8,9.7,19.2,0.505,0.573,6.2,6.9,0.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2,28.2,0.634,0.361,2.0,21.8,12.4,24.2,1.3,2.5,13.5,30.6,11.0,3.5,14.5,0.27,7.0,0.9,7.9,6.4,27137253,2016
jarelleddie,WAS,SF,26,0,5.7,0.8,2.5,0.308,0.423,0.3,0.3,1.0,0.1,0.8,0.9,0.2,0.2,0.0,0.0,0.2,2.4,11.0,0.46,0.12300000000000001,1.5,16.3,8.8,5.0,1.7,0.6,1.4,20.7,0.0,0.1,0.1,0.046,-1.5,-3.2,-4.7,-0.1,5767,2016
wayneellington,BRK,SG,76,41,21.3,2.9,7.4,0.389,0.474,0.7,0.8,0.857,0.3,2.0,2.3,1.1,0.6,0.1,0.6,1.1,7.7,10.1,0.498,0.11199999999999999,1.4,10.9,6.1,7.8,1.5,0.3,7.1,17.5,0.5,0.3,0.8,0.025,-0.9,-2.3,-3.2,-0.5,6135000,2016
montaellis,IND,SG,81,81,33.8,5.4,12.6,0.42700000000000005,0.47,2.0,2.5,0.7859999999999999,0.5,2.8,3.3,4.7,1.9,0.5,2.5,2.1,13.8,13.7,0.504,0.20199999999999999,1.7,9.1,5.4,22.2,2.7,1.1,15.4,21.2,0.4,3.9,4.3,0.075,-0.6,0.9,0.3,1.6,10995250,2016
tylerennis,MIL,PG,46,7,14.2,1.8,4.1,0.449,0.484,0.5,0.7,0.735,0.3,1.3,1.6,2.1,0.5,0.0,1.0,1.4,4.5,10.7,0.51,0.182,2.3,10.7,6.6,21.9,1.9,0.1,18.6,17.1,0.1,0.3,0.4,0.03,-2.4,-2.3,-4.8,-0.5,1234115,2016
festusezeli,GSW,C,46,13,16.7,2.7,5.0,0.5479999999999999,0.5479999999999999,1.5,2.9,0.53,2.0,3.6,5.6,0.7,0.4,1.1,0.8,2.0,7.0,17.7,0.5589999999999999,0.579,13.5,21.9,18.0,5.8,1.1,4.8,11.7,18.2,1.4,1.3,2.7,0.171,-1.5,1.4,-0.1,0.4,7566500,2016
kennethfaried,DEN,PF,67,64,25.3,5.2,9.3,0.5579999999999999,0.5579999999999999,2.0,3.3,0.613,3.5,5.2,8.7,1.2,0.5,0.9,1.4,2.5,12.5,21.0,0.5770000000000001,0.355,15.1,23.0,19.0,8.1,0.9,2.9,11.2,21.0,4.0,1.5,5.5,0.156,1.0,-0.1,0.9,1.2,12500000,2016
derrickfavors,UTA,PF,62,59,32.0,6.7,13.1,0.515,0.515,2.9,4.1,0.7090000000000001,2.7,5.4,8.1,1.5,1.2,1.5,1.7,2.4,16.4,21.6,0.551,0.313,10.0,19.6,14.8,8.9,2.0,3.9,10.1,23.9,3.8,3.4,7.1,0.17300000000000001,0.4,2.3,2.7,2.3,11737500,2016
cristianofelicio,CHI,C,31,4,10.4,1.3,2.3,0.556,0.556,0.8,1.1,0.7140000000000001,1.0,2.3,3.3,0.8,0.2,0.4,0.4,1.0,3.4,17.6,0.601,0.486,10.0,23.1,16.7,12.1,0.9,3.0,12.9,13.7,0.7,0.4,1.2,0.175,-0.5,1.4,0.9,0.2,699865,2016
raymondfelton,DAL,PG,80,31,27.4,3.5,8.5,0.406,0.45,1.9,2.2,0.847,0.5,2.8,3.2,3.6,0.9,0.2,1.5,1.8,9.5,11.9,0.502,0.258,1.8,11.1,6.5,20.3,1.6,0.6,13.7,18.4,1.0,1.7,2.7,0.059000000000000004,-1.1,0.2,-0.9,0.6,1551659,2016
evanfournier,ORL,SF,79,71,32.5,5.4,11.8,0.462,0.546,2.5,3.0,0.836,0.4,2.4,2.8,2.7,1.2,0.0,1.7,2.7,15.4,14.6,0.5870000000000001,0.256,1.4,8.4,4.9,12.8,1.9,0.1,11.4,20.1,4.0,1.7,5.7,0.106,2.1,-1.5,0.7,1.7,17000000,2016
danilogallinari,DEN,SF,53,53,34.7,5.4,13.2,0.41,0.47200000000000003,7.1,8.2,0.868,1.0,4.3,5.3,2.5,0.8,0.4,1.5,1.6,19.5,19.0,0.5820000000000001,0.617,3.1,14.0,8.5,11.8,1.1,0.8,8.0,23.0,5.5,0.9,6.3,0.165,2.9,-1.8,1.2,1.5,15050000,2016
