"","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1"
"60","Jarell Martin\martija01",315,"PF",23,"MEM",73,36,22.8,3,6.8,0.446,0.5,1.3,0.347,2.6,5.5,0.47,0.48,1.2,1.6,0.767,1.3,3,4.4,1,0.5,0.7,1.2,2.9,7.7,37,21,3,142,2599,333,763,43,125,174,228,178,566,96,64,65,133,360,883,0.436,0.344,0.763,18.3,6.2,4,0.7
"61","Jerian Grant\grantje02",184,"PG",25,"CHI",74,26,22.8,2.8,6.8,0.415,0.8,2.5,0.324,2,4.3,0.468,0.475,1.9,2.5,0.745,0.4,1.9,2.3,4.6,0.9,0.1,1.2,1.8,8.4,18,23,3,213,3979,491,1196,132,422,301,384,71,426,640,160,26,220,322,1415,0.411,0.313,0.784,18.7,6.6,2,3
"62","Joe Young\youngjo01",533,"PG",25,"IND",53,1,10.5,1.5,3.5,0.43,0.5,1.2,0.379,1,2.3,0.458,0.497,0.4,0.5,0.759,0.2,1,1.2,0.7,0.3,0,0.5,0.7,3.9,73,23,3,127,1077,168,427,40,135,53,69,19,130,119,33,1,64,74,429,0.393,0.296,0.768,8.5,3.4,1,0.9
"63","Jonathon Simmons\simmojo02",451,"SG",28,"ORL",69,50,29.4,5.1,11,0.465,1,3,0.338,4.1,8.1,0.512,0.511,2.7,3.5,0.768,0.9,2.6,3.5,2.5,0.8,0.2,2.1,2.5,13.9,61,26,3,202,4234,653,1424,117,353,353,465,97,495,355,129,46,275,424,1776,0.459,0.331,0.759,21,8.8,2.5,1.8
"64","Josh Huestis\huestjo01",230,"PF",26,"OKC",69,10,14.2,0.9,2.6,0.33,0.5,1.7,0.287,0.4,1,0.403,0.42,0.1,0.3,0.3,0.6,1.7,2.3,0.3,0.2,0.6,0.4,1.2,2.3,26,24,3,76,1068,71,205,39,125,6,25,48,180,23,16,48,29,85,187,0.346,0.312,0.24,14.1,2.5,2.4,0.3
"65","Josh Richardson\richajo01",426,"SF",24,"MIA",81,81,33.2,4.9,10.9,0.451,1.6,4.1,0.378,3.4,6.8,0.495,0.523,1.5,1.8,0.845,0.9,2.7,3.5,2.9,1.5,0.9,1.7,2.5,12.9,58,22,3,186,5410,724,1670,255,678,222,282,125,560,444,217,139,240,438,1925,0.434,0.376,0.787,29.1,10.3,3,2.4
"66","Justin Anderson\anderju01",12,"SF",24,"PHI",38,0,13.7,2.3,5.3,0.431,0.9,2.7,0.33,1.4,2.6,0.535,0.515,0.7,1,0.737,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,6.2,2,22,3,168,2394,344,816,114,380,174,222,112,470,120,75,55,106,208,976,0.422,0.3,0.784,14.3,5.8,2.8,0.7
"67","Justise Winslow\winslju01",526,"PF",21,"MIA",68,25,24.7,3,7.2,0.424,0.7,1.9,0.38,2.3,5.3,0.44,0.474,1,1.5,0.635,0.9,4.5,5.4,2.2,0.8,0.5,1.1,2.1,7.8,70,19,3,164,4537,482,1175,88,280,175,268,168,866,331,148,65,205,376,1227,0.41,0.314,0.653,27.7,7.5,5.3,2
"68","Karl-Anthony Towns\townska01",483,"C",22,"MIN",82,82,35.6,7.8,14.3,0.545,1.5,3.5,0.421,6.3,10.8,0.585,0.596,4.2,4.9,0.858,2.9,9.4,12.3,2.4,0.8,1.4,1.9,3.5,21.3,65,20,3,246,8575,2066,3805,251,648,924,1105,763,2877,580,178,356,554,771,5307,0.543,0.387,0.836,34.9,21.6,11.7,2.4
"69","Kelly Oubre\oubreke01",386,"SF",22,"WAS",81,11,27.5,3.9,9.8,0.403,1.6,4.6,0.341,2.4,5.2,0.456,0.482,2.4,2.9,0.82,0.7,3.8,4.5,1.2,1,0.4,1.1,2.9,11.8,50,20,3,223,4507,594,1443,205,636,297,381,145,757,158,160,59,174,529,1690,0.412,0.322,0.78,20.2,7.6,3.4,0.7
