,fix,PS.G,FGA,MP,VORP,TOV,PER,USG.,G,average.salary,perf_cluster,sal_bracket,over_under
183,coreybrewer,4.5,4.2,15.6,-0.2,0.7,9.1,14.3,82,7806971,1,3,-2
184,josecalderon,3.4,3.3,13.1,-0.4,1.0,8.9,14.4,41,2328652,5,1,4
185,omricasspi,5.2,4.6,17.9,-0.2,0.8,10.0,14.4,36,2106470,5,1,4
186,demarcuscousins,27.0,19.9,34.2,5.3,3.7,25.8,36.5,72,16404925,8,6,2
187,tyrekeevans,10.3,9.3,19.7,0.2,1.5,15.5,26.7,40,3290000,5,2,3
188,tajgibson,10.8,9.1,25.5,-0.1,1.3,15.0,19.3,78,14000000,3,5,-2
189,sergeibaka,14.8,12.4,30.7,1.0,1.3,16.4,20.9,79,21666667,6,7,-1
190,ersanilyasova,13.1,10.9,26.1,0.8,1.4,14.6,22.2,82,6000000,6,3,3
191,kylekorver,10.1,7.7,26.2,0.8,1.0,12.1,15.2,67,7353333,4,3,1
192,anthonymorrow,5.5,5.1,14.6,-0.4,0.1,10.1,16.4,49,2116955,2,1,1
193,milesplumlee,2.5,2.0,10.8,-0.2,0.7,8.4,13.1,45,12500000,2,5,-3
194,terrenceross,11.0,9.6,25.1,0.9,0.9,13.4,19.3,78,10500000,3,4,-1
195,pjtucker,6.7,6.0,27.6,1.6,0.8,10.5,11.2,81,7969537,3,3,0
