"","player","i","pos","age","team","g","gs","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp","avg_salary","contract_year"
"1076","David Wear",2015,"PF",24,"SAC",2,0,3.5,0,1,0,0,0.5,0,0,0.5,0,0,0,0,NA,1,0,0.5,0,0,0,0.5,0,7,2.4,0,0.5,0,33.6,0,18.8,0,0,0,12.6,0,0,0,-0.11,-0.3,-2.7,0,2984,0
"1077","David West",2012,"PF",31,"IND",66,66,29.2,5.3,10.8,0.487,0,0.1,0.222,5.3,10.7,0.491,0.489,2.2,2.7,0.807,1.8,4.8,2.1,0.8,0.7,1.4,2.4,12.8,1925,17.8,0.531,0.013,0.246,6.9,18.3,13.1,1.4,1.9,10.5,20.9,3.4,2.5,5.9,0.147,0.7,1,1.8,10000000,0
"1078","David West",2013,"PF",32,"IND",73,73,33.4,6.9,13.8,0.498,0.1,0.3,0.211,6.8,13.6,0.503,0.5,3.3,4.3,0.768,2,5.7,2.9,1,0.9,2.2,2,17.1,2435,20.1,0.545,0.019,0.312,6.8,18.8,16.8,1.6,2.1,12,24.4,4.4,4.7,9.1,0.179,0.9,2.4,3.3,10000000,0
"1079","David West",2014,"PF",33,"IND",80,80,30.9,5.7,11.7,0.488,0.1,0.2,0.267,5.7,11.6,0.491,0.49,2.5,3.1,0.789,1.5,5.3,2.8,0.8,0.9,1.7,2.3,14,2472,17.5,0.533,0.016,0.267,5.7,18.3,16.1,1.3,2.3,11.2,21.9,3.1,5,8.1,0.157,-0.6,2.7,2.5,12200000,0
"1080","David West",2015,"PF",34,"IND",66,66,28.7,4.9,10.4,0.471,0.1,0.3,0.2,4.8,10.1,0.479,0.474,1.8,2.4,0.739,1.6,5.2,3.4,0.7,0.7,1.8,2.4,11.7,1895,16,0.508,0.029,0.235,6.4,19.7,20.1,1.3,2,13.7,21,1.4,2.8,4.3,0.108,-0.7,2.4,1.8,12200000,1
"1081","David West",2016,"PF",35,"SAS",78,19,18,3.1,5.7,0.545,0,0.1,0.429,3.1,5.7,0.546,0.548,0.8,1,0.788,0.9,3,1.8,0.6,0.7,0.9,1.8,7.1,1404,17.6,0.573,0.016,0.179,6,18.6,15.4,1.6,3,12.3,18,2.4,2.9,5.4,0.184,0.1,3.3,1.9,1525423,1
"1082","David West",2017,"C",36,"GSW",68,0,12.6,2,3.7,0.536,0,0.1,0.375,1.9,3.6,0.541,0.542,0.6,0.8,0.768,0.7,2.3,2.2,0.6,0.7,1.1,1.5,4.6,854,16.6,0.571,0.032,0.222,6.5,18.8,24.1,2.4,4.4,22,17.9,0.9,1.7,2.6,0.148,-1.7,3.9,0.9,1551659,1
"1083","David West",2018,"C",37,"GSW",73,0,13.7,3,5.2,0.571,0,0.1,0.375,2.9,5.1,0.576,0.575,0.8,1.1,0.759,0.9,2.4,1.9,0.6,1,1.1,1.6,6.8,999,20.9,0.6,0.021,0.209,7.7,18.2,20.5,2.3,5.9,16.2,21.7,1.8,1.7,3.5,0.168,-0.2,3.2,1.3,2328652,0
"1084","Davis Bertans",2017,"PF",24,"SAS",67,6,12.1,1.5,3.5,0.44,1,2.6,0.399,0.5,0.9,0.557,0.588,0.4,0.5,0.824,0.3,1.1,0.7,0.3,0.4,0.5,1.1,4.5,808,12.9,0.609,0.739,0.145,3.2,10.4,8.3,1.3,2.8,11.4,15.7,1.1,1.2,2.3,0.135,1.2,0.6,0.8,724360,0
"1085","Davis Bertans",2018,"PF",25,"SAS",77,10,14.1,2.1,4.8,0.44,1.2,3.3,0.373,0.9,1.5,0.588,0.568,0.5,0.6,0.816,0.2,1.8,1,0.3,0.4,0.5,1.2,5.9,1086,14.1,0.588,0.689,0.134,1.8,13.9,10.3,1.2,2.1,8.5,17.4,1.6,1.4,3.1,0.135,1.2,-0.3,0.8,724360,0
"1086","Davon Reed",2018,"SG",22,"PHO",21,1,11.5,1,3.6,0.289,0.5,1.8,0.289,0.5,1.8,0.289,0.362,0.4,0.6,0.667,0.1,1.8,0.6,0.5,0.1,0.5,0.8,3,242,4.8,0.388,0.5,0.158,0.9,16.6,7.6,2,0.7,11,16,-0.5,0.2,-0.3,-0.059,-5.8,-1,-0.3,1391332,0
"1087","De'Aaron Fox",2018,"PG",20,"SAC",73,60,27.8,4.5,10.9,0.412,0.6,2.1,0.307,3.8,8.8,0.436,0.441,1.9,2.7,0.723,0.5,2.3,4.4,1,0.3,2.4,2.2,11.6,2026,11.2,0.478,0.192,0.245,1.8,10,24.6,1.7,0.9,16.4,23.4,-1.7,1.1,-0.6,-0.014,-2.8,-1.5,-1.2,5040060,0
