"","fix","Pos","G","GS","MP","FG","FGA","FG.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","average.salary"
"180","wesleyjohnson","SF",76,59,0.855120033992203,0.142510687780214,0.297451950461498,-0.509135522469413,-0.247412054957081,-0.319789958357243,-0.399585928780473,0.560558186376228,-0.149102795175367,0.150216242104304,0.0559117388160006,-0.24569004057239,0.185530739555268,0.323585024059554,-0.238573068465155,0.312651608665054,0.0942416888870896,-0.373517514163718,-0.803253449782819,-0.513701458333682,-0.346528709611651,-0.4929519569877,-0.531759215034745,-0.462284467889479,-0.0113608927228464,-0.657412034999987,-0.518189832603,-0.335475858141873,-0.75382043775431,-0.531537352331491,-0.976127584567484,-0.157775193925724,-0.305249937643884,-0.325988675429521,-0.363637792027958,981084
"181","dahntayjones","SF",33,0,-2.37862780523112,-1.69045327034813,-1.71534128322673,-2.48380797923686,-3.77044971448583,-1.00191618760069,-1.13154963092278,0.677918422030803,-1.20662817577103,-1.62366312251898,-1.56260307260764,-1.08837020958038,-1.47804087498544,-0.960695434124998,-1.68685597544455,-1.91074086568775,-1.63250456444071,-2.37853757352479,1.79752368757009,-1.10368791810701,-1.01761639734266,-1.10423974453813,-1.25013047932224,-0.615578797934215,-1.05045866295573,-2.45006610677673,-1.83983271309323,-0.818692306687706,-1.31262023322509,-1.13102456886195,-1.3923913172209,-2.00191974237338,-0.706807878185225,-2.09875873390122,-0.653790446916933,613478
"182","jamesjones","SF",57,2,-1.37591529694482,-1.13038094980891,-1.0286235917331,-1.21878343662021,0.569787402150104,-0.698748974603605,-0.826564755030153,0.929404641290608,-0.97162253563866,-1.26888724959432,-1.23060003436689,-0.91983417577878,-1.24038778719391,-0.74664869109424,-1.4235318105392,-1.11667212484747,-0.926952331898167,0.716590479275309,-0.321894145355624,-0.924126821654255,-1.01761639734266,-1.03874462444344,-0.885418914376281,-0.922167458023687,-0.465966167199733,-1.97554002895347,-0.638339185374838,-0.238832568432706,-1.0332203354897,-0.602065260158604,0.290007935586646,0.82862770408116,-1.56728917934524,-0.289809694644385,-0.508714119472446,1448490
"183","terrencejones","PF",33,24,0.529238468799154,0.651667342815864,0.297451950461498,1.24955713433909,1.02378710054298,0.0591690578891186,0.393374748540362,-1.09925086073848,1.6134395058174,0.741509363645397,1.09342123331834,-0.526583430241719,-0.527428523819323,2.89214594042866,-0.238573068465155,0.789092853169226,0.428450641144082,0.75552290761242,0.288785569216191,1.15365158015615,0.462217990987252,0.795118738207843,-0.719640930309936,-0.922167458023687,2.32660909030114,-0.841949954153475,-0.117691990030204,0.00277565584021108,-0.195020642283534,-0.073105951455258,1.15722404528126,-0.0291139463596083,1.12888556428948,0.687022786554306,-0.0734851371389833,1786262
"184","deandrejordan","C",82,82,1.46928144531756,0.549836011808734,-0.318225979843136,4.05729453380531,3.94754515819313,0.513919877384752,2.16228702871761,-2.85127152158179,4.43350718740583,4.17100946858374,4.53795275506609,-0.751298141977182,0.660836915138328,3.7483329125517,0.024751096440189,1.74197534217757,0.391316313115528,2.13762411357976,4.36956295600196,2.82100461864598,3.00890972904337,3.15294306161663,-1.12855995767359,-0.155695807800006,2.45649631158025,-0.0510731577813829,-1.07888681220491,2.75710941255146,3.62344462676677,3.38276153207327,2.14585041033311,0.614192291470968,1.87463602529483,1.70003424853813,2.53788875686179,10759764
"185","jeromejordan","C",44,0,-1.75193248755218,-1.23221228081604,-1.36014247728175,1.31126564861308,0.69690731770011,-0.54716536810506,-0.704570804673102,1.06353062489584,0.203405665023186,-1.09149931313199,-0.691095097225681,-0.976012853712645,-1.24038778719391,-0.318555205032722,-1.02854556318119,-0.957858376679408,-1.16832546408377,1.57310390269169,1.39519352267571,2.59014035177816,0.100863082209018,1.16625775207775,-0.896470779980704,-0.768873127978951,0.962793266870482,0.871616437986058,-0.578264508988919,-0.383797502996456,-1.12635363473483,-0.707857121899274,1.08784675650569,0.142434383728545,0.0389425828201226,0.144338074777255,-0.436175955750202,816482
"186","coryjoseph","PG",79,14,-0.548677477608621,-0.468477298262567,-0.626064944995454,0.879306048695198,0.533467426278673,-0.243998155107971,-0.216595003244896,-0.0262429918966489,-0.501611255373921,-0.677594128053227,-0.691095097225681,0.203739382898537,-0.289775436027793,-0.532601948063481,-0.633559315823171,-0.957858376679408,-0.481340395555509,0.697124265106755,0.533057455044916,-0.436746702711074,-0.604639358738961,-0.558447077082388,0.69499786705621,-0.00240147775526979,-0.465966167199733,-0.156523397297662,-0.398040479831161,0.485992104386045,0.270645853942112,0.455853357248088,0.966436501148442,0.313982713816699,0.325769683206795,0.469948901843486,0.144129354027748,1290400
"187","chriskaman","C",74,13,-0.473474039487149,0.142510687780214,-0.105106696276148,1.04900446294865,0.388187522792952,-0.471373564855788,-0.460582903958999,-0.260963463205801,1.14342822555266,0.859767987953616,1.01042047375815,-0.63894078610945,-1.24038778719391,0.537631767090313,0.288075261345533,-0.0049758876710621,-0.147131443298517,0.171536482555797,-0.63082623625666,1.64103169909933,1.76997861323229,1.84304065972286,-0.620174139870129,-1.3820504481579,0.767962434951816,0.63435339907443,0.703328587244027,-0.287154213287289,0.643179050922629,0.0326859102854112,0.324696579974431,-0.843968514278338,0.669962203670802,-0.289809694644385,-0.436175955750202,4908000
"188","sergeykarasev","SG",33,16,-0.736686072912303,-0.977633953298218,-0.886544069355107,-0.678833936722866,-0.556131849864239,-0.54716536810506,-0.58257685431605,0.216860353387828,-0.384108435307737,-1.03237000097788,-0.857096616346054,-0.358047396440121,-0.0521223482362626,-0.960695434124998,-0.765221398275844,-0.79904462851135,-0.889818003869612,-0.392983728332272,0.0732515523084911,-0.180230850635715,-1.03482377395114,-0.733100730668225,-0.122840187671093,0.764070172468411,-0.985515052316174,0.186189881130244,-0.918687675175796,-0.673727372123956,-1.0332203354897,-0.884176891467056,-0.559863851914071,-0.0720010288816467,-0.24788451756655,-0.217451733074111,-0.508714119472446,1533840
"189","ryankelly","PF",52,34,0.128153465484633,-0.773971291283958,-0.460305502221129,-1.69702442224358,-1.53677119839286,-0.0924145486094261,-0.216595003244896,0.795278657685379,-0.854119715572475,-0.263688942974461,-0.525093578105307,-0.133332684704658,-0.289775436027793,0.109538281028796,-0.765221398275844,0.630279105001168,-0.555609051612619,-1.07430122423166,0.238494298604394,-1.05238474769193,-0.432565592654088,-0.776764144064684,-0.277566306133016,-0.615578797934215,-0.0113608927228464,-0.921037633790684,-0.998787243690355,-0.625405727269373,-1.12635363473483,-0.884176891467056,-1.14957080650641,-0.672420184190185,-0.419980777798553,-0.796315425636298,-0.798866774361421,1687125
