"","fix","X1","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1","average salary"
"132","patconnaughton",80,"Pat Connaughton\connapa01",107,"SG",25,"POR",82,5,18.1,2,4.8,0.423,0.9,2.6,0.352,1.1,2.2,0.506,0.518,0.5,0.5,0.841,0.4,1.5,2,1.1,0.3,0.3,0.5,1.5,5.4,11,23,3,155,1947,215,511,96,264,49,58,57,245,129,31,24,70,149,575,0.421,0.364,0.845,12.6,3.7,1.6,0.8,838158
"133","patrickmccaw",128,"Patrick McCaw\mccawpa01",321,"SG",22,"GSW",57,10,16.9,1.6,3.9,0.409,0.3,1.4,0.238,1.3,2.5,0.503,0.451,0.5,0.6,0.765,0.3,1.2,1.4,1.4,0.8,0.2,0.7,1.2,4,52,21,2,128,2035,198,470,60,203,55,71,37,182,158,75,25,77,129,511,0.421,0.296,0.775,15.9,4,1.4,1.2,724360
"134","paulzipser",129,"Paul Zipser\zipsepa01",538,"SF",23,"CHI",54,12,15.3,1.5,4.3,0.346,0.7,2,0.336,0.8,2.3,0.355,0.425,0.4,0.5,0.731,0.2,2.2,2.4,0.9,0.4,0.3,0.8,1.6,4,87,22,2,98,1667,169,455,70,209,50,66,28,256,82,35,31,83,164,458,0.371,0.335,0.758,17,4.7,2.6,0.8,957908
"135","quinncook",130,"Quinn Cook\cookqu01",108,"PG",24,"GSW",33,18,22.4,3.7,7.6,0.484,1.4,3.2,0.442,2.3,4.5,0.514,0.575,0.7,0.8,0.88,0.3,2.2,2.5,2.7,0.4,0,1,1.8,9.5,15,23,2,47,928,155,318,57,130,24,30,11,89,115,16,1,45,72,391,0.487,0.438,0.8,19.7,8.3,1.9,2.4,1428781
"136","rashadvaughn",81,"Rashad Vaughn\vaughra01",492,"SG",21,"TOT",28,0,7.6,0.8,2,0.411,0.5,1.3,0.378,0.3,0.7,0.474,0.536,0.1,0.2,0.667,0.1,0.6,0.8,0.5,0.2,0.1,0.2,0.5,2.3,67,19,3,139,1671,161,478,83,265,18,26,18,158,75,53,29,48,120,423,0.337,0.313,0.692,12,3,1.1,0.5,1811040
"137","raulneto",82,"Raul Neto\netora01",367,"PG",25,"UTA",41,0,12.1,1.7,3.7,0.457,0.5,1.1,0.404,1.2,2.5,0.481,0.52,0.6,0.9,0.743,0.2,1,1.2,1.8,0.3,0.1,0.9,0.9,4.5,47,23,3,162,2343,290,660,93,240,86,114,28,199,283,96,11,160,208,759,0.439,0.388,0.754,14.5,4.7,1.2,1.7,910849
"138","richaunholmes",83,"Richaun Holmes\holmeri01",224,"C",24,"PHI",48,2,15.5,2.8,5,0.56,0.1,0.6,0.129,2.7,4.4,0.624,0.568,0.8,1.2,0.661,1.2,3.2,4.4,1.3,0.4,0.6,0.5,2,6.5,24,22,3,156,2641,479,875,39,152,160,233,213,657,152,81,124,112,325,1157,0.547,0.257,0.687,16.9,7.4,4.2,1,1038249
"139","rodneyhood",40,"Rodney Hood\hoodro01",225,"SG",25,"TOT",60,23,26.9,5.4,12.5,0.429,2.1,5.6,0.381,3.3,7,0.467,0.513,1.9,2.2,0.86,0.4,2.4,2.8,1.6,0.8,0.2,1.2,1.8,14.7,36,22,4,248,6814,1157,2763,464,1259,434,524,85,751,487,186,51,305,558,3212,0.419,0.369,0.828,27.5,13,3,2,1608046
"140","rodneyhood",39,"Rodney Hood\hoodro01",225,"SG",25,"UTA",39,12,27.8,6,14.2,0.424,2.6,6.7,0.389,3.4,7.4,0.455,0.516,2.2,2.5,0.876,0.4,2.5,2.8,1.7,0.8,0.2,1.6,1.6,16.8,36,22,4,248,6814,1157,2763,464,1259,434,524,85,751,487,186,51,305,558,3212,0.419,0.369,0.828,27.5,13,3,2,1608046
"141","ronbaker",131,"Ron Baker\bakerro01",27,"SG",24,"NYK",29,1,13.3,0.7,2,0.339,0.4,1.1,0.333,0.3,0.9,0.346,0.432,0.7,0.9,0.769,0.2,0.9,1,1.6,0.9,0.2,0.6,1.1,2.4,2,23,2,81,1242,102,276,34,119,48,69,17,128,154,60,14,74,107,286,0.37,0.286,0.696,15.3,3.5,1.6,1.9,4436200
"142","rondaehollisjefferson",84,"Rondae Hollis-Jefferson\holliro01",223,"SF",23,"BRK",68,59,28.2,5,10.6,0.472,0.2,0.8,0.241,4.8,9.9,0.491,0.481,3.7,4.6,0.788,1.5,5.3,6.8,2.5,1,0.7,1.8,2.1,13.9,23,21,3,175,4296,640,1404,32,135,476,621,236,1065,364,186,108,263,383,1788,0.456,0.237,0.767,24.5,10.2,6.1,2.1,1395600
"143","salahmejri",85,"Salah Mejri\mejrisa01",334,"C",31,"DAL",61,1,12,1.4,2.2,0.642,0,0,0,1.4,2.2,0.657,0.642,0.6,1.1,0.576,1.4,2.6,4,0.6,0.4,1.1,0.6,2,3.5,41,29,3,168,2031,225,352,1,7,101,173,223,677,59,62,164,102,327,552,0.639,0.143,0.584,12.1,3.3,4,0.4,804825
"144","samdekker",86,"Sam Dekker\dekkesa01",126,"PF",23,"LAC",73,1,12.1,1.8,3.5,0.494,0.1,0.8,0.167,1.6,2.7,0.593,0.514,0.5,0.8,0.661,0.6,1.8,2.4,0.5,0.3,0.1,0.5,1,4.2,14,21,3,153,2308,331,688,70,247,75,124,138,459,114,63,30,74,154,807,0.481,0.283,0.605,15.1,5.3,3,0.7,1720520
"145","seankilpatrick",41,"Sean Kilpatrick\kilpase01",274,"SG",28,"TOT",52,1,12.3,2.1,5.7,0.374,0.9,2.8,0.319,1.2,2.9,0.427,0.452,1.2,1.4,0.889,0.1,1.6,1.7,0.9,0.3,0.1,0.7,0.6,6.3,42,25,4,157,3082,545,1319,194,579,332,385,40,429,236,73,13,206,191,1616,0.413,0.335,0.862,19.6,10.3,2.7,1.5,750951
