"","fix","X1","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1","average salary"
"1","aarongordon",1,"Aaron Gordon\gordoaa01",179,"PF",22,"ORL",58,57,32.9,6.5,14.9,0.434,2,5.9,0.336,4.5,9,0.497,0.5,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1,0.8,1.8,1.9,17.6,28,19,4,263,6867,1135,2517,247,799,486,696,403,1538,447,204,162,300,519,3003,0.451,0.309,0.698,26.1,11.4,5.8,1.7,4504865
"2","abdelnader",143,"Abdel Nader\naderab01",363,"SF",24,"BOS",48,1,10.9,1,3.1,0.336,0.5,1.4,0.354,0.6,1.8,0.321,0.413,0.5,0.8,0.59,0.3,1.2,1.5,0.5,0.3,0.2,0.7,0.9,3,82,24,1,48,522,50,149,23,65,23,39,13,71,26,15,10,34,45,146,0.336,0.354,0.59,10.9,3,1.5,0.5,1388032
"3","alexabrines",95,"Alex Abrines\abrinal01",1,"SG",24,"OKC",75,8,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,1,23,2,143,2189,249,632,178,468,83,95,44,200,68,75,16,58,238,759,0.394,0.38,0.874,15.3,5.3,1.4,0.5,5725000
"4","andrewharrison",96,"Andrew Harrison\harrian01",202,"PG",23,"MEM",56,46,23.7,3.2,7.7,0.422,0.8,2.5,0.331,2.4,5.1,0.467,0.477,2.2,2.8,0.78,0.4,1.9,2.3,3.2,0.7,0.5,1.4,2.5,9.5,32,22,2,128,2800,298,789,90,298,272,353,46,267,375,91,47,166,332,958,0.378,0.302,0.771,21.9,7.5,2.1,2.9,994269
"5","andrewwiggins",2,"Andrew Wiggins\wiggian01",514,"SF",22,"MIN",82,82,36.3,6.9,15.9,0.438,1.4,4.1,0.331,5.6,11.7,0.475,0.481,2.5,3.8,0.643,1,3.4,4.4,2,1.1,0.6,1.7,2,17.7,80,19,4,327,11841,2369,5301,311,943,1398,1887,423,1351,683,337,177,684,701,6447,0.447,0.33,0.741,36.2,19.7,4.1,2.1,6212561
"6","antezizic",145,"Ante Zizic\zizican01",539,"C",21,"CLE",32,2,6.7,1.5,2.1,0.731,0,0,NA,1.5,2.1,0.731,0.731,0.7,0.9,0.724,0.8,1.1,1.9,0.2,0.1,0.4,0.3,0.9,3.7,120,21,1,32,214,49,67,0,0,21,29,24,60,5,2,13,11,30,119,0.731,NA,0.724,6.7,3.7,1.9,0.2,1798980
"7","bensimmons",147,"Ben Simmons\simmobe01",450,"PG",21,"PHI",81,81,33.7,6.7,12.3,0.545,0,0.1,0,6.7,12.2,0.551,0.545,2.4,4.2,0.56,1.8,6.3,8.1,8.2,1.7,0.9,3.4,2.6,15.8,99,21,1,81,2732,544,998,0,11,191,341,145,659,661,140,70,278,211,1279,0.545,0,0.56,33.7,15.8,8.1,8.2,6036000
"8","bobanmarjanovic",49,"Boban Marjanovic\marjabo01",313,"C",29,"TOT",39,1,8.6,2,3.8,0.534,0,0,NA,2,3.8,0.534,0.534,2,2.5,0.794,1.2,2.5,3.7,0.6,0.3,0.3,0.9,1.3,6,36,27,3,128,1138,256,454,0,0,211,269,167,468,52,28,46,75,130,723,0.564,NA,0.784,8.9,5.6,3.7,0.4,7000000
"9","bobbyportis",50,"Bobby Portis\portibo01",410,"PF",22,"CHI",73,4,22.5,5.2,11.1,0.471,1.1,3.1,0.359,4.1,8.1,0.514,0.52,1.6,2.1,0.769,2.2,4.6,6.8,1.7,0.7,0.3,1.4,1.8,13.2,54,20,3,199,3745,751,1622,128,371,207,281,357,1131,210,91,56,194,324,1837,0.463,0.345,0.737,18.8,9.2,5.7,1.1,1453720
"12","brandoningram",97,"Brandon Ingram\ingrabr01",238,"SF",20,"LAL",59,59,33.5,6.1,12.9,0.47,0.7,1.8,0.39,5.4,11.1,0.483,0.497,3.3,4.8,0.681,1,4.4,5.3,3.9,0.8,0.7,2.5,2.8,16.1,37,19,2,138,4254,634,1447,96,292,325,496,117,630,396,95,79,265,321,1689,0.438,0.329,0.655,30.8,12.2,4.6,2.9,5400540
"13","brandonpaul",149,"Brandon Paul\paulbr01",395,"SG",26,"SAS",64,2,9,0.9,2,0.433,0.2,0.8,0.278,0.6,1.1,0.548,0.492,0.3,0.7,0.512,0.1,1,1.1,0.6,0.4,0.1,0.5,0.9,2.3,89,26,1,64,576,55,127,15,54,22,43,6,68,37,25,7,29,58,147,0.433,0.278,0.512,9,2.3,1.1,0.6,1096929
"14","brynforbes",98,"Bryn Forbes\forbebr01",162,"SG",24,"SAS",80,12,19,2.6,6.2,0.421,1.1,2.9,0.39,1.5,3.4,0.446,0.51,0.6,0.9,0.667,0.2,1.2,1.4,1,0.4,0,0.5,1.4,6.9,25,23,2,116,1802,245,596,106,281,53,78,14,133,103,29,2,48,128,649,0.411,0.377,0.679,15.5,5.6,1.1,0.9,724360
"15","buddyhield",99,"Buddy Hield\hieldbu01",215,"SG",24,"SAC",80,12,25.3,5.2,11.7,0.446,2.2,5.1,0.431,3,6.6,0.457,0.54,0.9,1,0.877,0.7,3.2,3.8,1.9,1.1,0.3,1.6,1.9,13.5,35,23,2,162,3912,743,1700,324,787,135,157,90,576,276,123,31,225,263,1945,0.437,0.412,0.86,24.1,12,3.6,1.7,3596340
"16","calebswanigan",151,"Caleb Swanigan\swanica01",467,"PF",20,"POR",27,3,7,0.9,2.2,0.4,0,0.3,0.125,0.9,1.9,0.442,0.408,0.4,0.7,0.667,0.6,1.4,2,0.5,0.2,0.1,0.7,1.4,2.3,103,20,1,27,189,24,60,1,8,12,18,15,54,14,5,3,18,37,61,0.4,0.125,0.667,7,2.3,2,0.5,1602960
"17","carislevert",100,"Caris LeVert\leverca01",296,"SF",23,"BRK",71,10,26.3,4.5,10.4,0.435,1.2,3.5,0.347,3.3,6.9,0.48,0.493,1.9,2.6,0.711,0.7,2.9,3.7,4.2,1.2,0.3,2.2,2.2,12.1,47,22,2,128,3101,491,1115,144,429,200,280,76,448,410,131,30,212,250,1326,0.44,0.336,0.714,24.2,10.4,3.5,3.2,1597380
"18","cediosman",152,"Cedi Osman\osmande01",385,"SF",22,"CLE",61,12,11,1.5,3,0.484,0.5,1.4,0.368,1,1.6,0.586,0.57,0.4,0.8,0.565,0.3,1.7,2,0.7,0.4,0,0.5,1.3,3.9,86,22,1,61,672,90,186,32,87,26,46,19,120,41,22,3,32,78,238,0.484,0.368,0.565,11,3.9,2,0.7,2772355
"19","cheickdiallo",101,"Cheick Diallo\diallch01",131,"PF",21,"NOP",52,0,11.2,2,3.4,0.58,0,0,NA,2,3.4,0.58,0.58,1,1.3,0.758,0.9,3.2,4.1,0.4,0.2,0.4,0.5,1.6,4.9,18,20,2,69,780,138,252,0,0,65,87,70,284,23,15,28,35,99,341,0.548,NA,0.747,11.3,4.9,4.1,0.3,832994
"20","clintcapela",4,"Clint Capela\capelca01",85,"C",23,"HOU",74,74,27.5,6,9.1,0.652,0,0,0,6,9.1,0.653,0.652,1.9,3.5,0.56,3.3,7.6,10.8,0.9,0.8,1.9,1.4,2.5,13.9,12,20,4,228,5146,1048,1665,0,2,322,668,623,1858,180,152,317,255,568,2418,0.629,0,0.482,22.6,10.6,8.1,0.8,1515672
"22","dakarijohnson",153,"Dakari Johnson\johnsda04",256,"C",22,"OKC",31,6,5.2,0.7,1.3,0.564,0,0,NA,0.7,1.3,0.564,0.564,0.4,0.6,0.55,0.5,0.6,1.1,0.3,0.2,0.3,0.1,0.9,1.8,55,22,1,31,161,22,39,0,0,11,20,16,34,8,6,8,3,27,55,0.564,NA,0.55,5.2,1.8,1.1,0.3,1096929
"23","dangelorussell",52,"D'Angelo Russell\russeda01",437,"PG",21,"BRK",48,35,25.7,5.8,14,0.414,1.9,5.8,0.324,3.9,8.2,0.477,0.481,2,2.7,0.74,0.6,3.3,3.9,5.2,0.8,0.4,3.1,1.9,15.5,60,19,3,191,5304,1021,2495,355,1032,384,509,108,684,818,216,46,519,365,2781,0.409,0.344,0.754,27.8,14.6,3.6,4.3,5332760
"24","danieltheis",155,"Daniel Theis\theisda01",476,"C",25,"BOS",63,3,14.9,2,3.7,0.541,0.3,0.9,0.31,1.7,2.8,0.617,0.579,1,1.3,0.753,1.4,2.9,4.3,0.9,0.5,0.8,0.9,2.5,5.3,106,25,1,63,936,126,233,18,58,61,81,90,274,56,30,48,56,157,331,0.541,0.31,0.753,14.9,5.3,4.3,0.9,1096929
"25","dariosaric",102,"Dario Saric\saricda01",440,"PF",23,"PHI",78,73,29.6,5.2,11.4,0.453,2,5.1,0.393,3.2,6.3,0.501,0.541,2.3,2.7,0.86,2,4.7,6.7,2.6,0.7,0.3,1.9,2.1,14.6,70,22,2,159,4439,784,1817,263,740,350,427,266,1033,384,108,50,331,322,2181,0.431,0.355,0.82,27.9,13.7,6.5,2.4,2370420
"26","davidnwaba",103,"David Nwaba\nwabada01",375,"SG",25,"CHI",70,21,23.5,2.9,6,0.478,0.3,0.7,0.346,2.6,5.3,0.496,0.499,1.9,2.9,0.655,1.3,3.4,4.7,1.5,0.8,0.4,1.1,2.3,7.9,58,24,2,90,2043,249,504,19,57,158,242,106,389,118,72,36,88,194,675,0.494,0.333,0.653,22.7,7.5,4.3,1.3,693070
"27","davisbertans",104,"Davis Bertans\bertada01",44,"PF",25,"SAS",77,10,14.1,2.1,4.8,0.44,1.2,3.3,0.373,0.9,1.5,0.588,0.568,0.5,0.6,0.816,0.2,1.8,2,1,0.3,0.4,0.5,1.2,5.9,8,24,2,144,1894,264,600,163,425,68,83,40,251,120,46,56,68,168,759,0.44,0.384,0.819,13.2,5.3,1.7,0.8,724360
"28","deaaronfox",156,"De'Aaron Fox\foxde01",164,"PG",20,"SAC",73,60,27.8,4.5,10.9,0.412,0.6,2.1,0.307,3.8,8.8,0.436,0.441,1.9,2.7,0.723,0.5,2.3,2.8,4.4,1,0.3,2.4,2.2,11.6,36,20,1,73,2026,328,797,47,153,141,195,33,204,320,70,20,173,163,844,0.412,0.307,0.723,27.8,11.6,2.8,4.4,5040060
"29","deandrebembry",105,"DeAndre' Bembry\bembrde01",42,"SF",23,"ATL",26,3,17.5,2,4.9,0.414,0.4,1.2,0.367,1.6,3.8,0.429,0.457,0.7,1.3,0.576,0.3,2.5,2.8,1.9,0.8,0.5,1.8,1.5,5.2,5,22,2,64,826,100,226,12,48,25,49,22,131,77,29,17,63,59,237,0.442,0.25,0.51,12.9,3.7,2,1.2,1533480
"30","dejountemurray",106,"Dejounte Murray\murrade01",360,"PG",21,"SAS",81,48,21.5,3.3,7.5,0.443,0.1,0.4,0.265,3.2,7.1,0.454,0.451,1.3,1.8,0.709,1.4,4.3,5.7,2.9,1.2,0.4,1.7,1.9,8.1,54,20,2,119,2065,320,725,18,57,126,178,116,501,279,105,37,172,180,784,0.441,0.316,0.708,17.4,6.6,4.2,2.3,1206660
"31","delonwright",53,"Delon Wright\wrighde01",530,"PG",25,"TOR",69,4,20.8,2.9,6.3,0.465,0.8,2.2,0.366,2.1,4,0.52,0.53,1.4,1.7,0.829,0.7,2.2,2.9,2.9,1,0.5,1.1,1.2,8,72,23,3,123,2108,286,628,71,196,165,207,69,283,288,107,47,119,119,808,0.455,0.362,0.797,17.1,6.6,2.3,2.3,1577280
"32","dennissmith",157,"Dennis Smith\smithde03",455,"PG",20,"DAL",69,69,29.7,5.9,14.8,0.395,1.5,4.9,0.313,4.3,9.9,0.436,0.447,1.9,2.8,0.694,0.7,3,3.8,5.2,1,0.3,2.8,2.2,15.2,101,20,1,69,2049,404,1023,106,339,134,193,50,260,358,71,18,195,152,1048,0.395,0.313,0.694,29.7,15.2,3.8,5.2,3519120
"33","denzelvalentine",107,"Denzel Valentine\valende01",490,"SG",24,"CHI",77,37,27.2,3.9,9.4,0.417,1.9,4.8,0.386,2.1,4.6,0.45,0.517,0.5,0.7,0.745,0.6,4.5,5.1,3.2,0.8,0.1,1.3,2.4,10.2,79,23,2,134,3071,403,1009,216,578,52,69,59,544,307,95,18,148,271,1074,0.399,0.374,0.754,22.9,8,4.1,2.3,2139300
"34","devinbooker",54,"Devin Booker\bookede01",58,"SG",21,"PHO",54,54,34.5,8.4,19.5,0.432,2.7,7.1,0.383,5.7,12.4,0.46,0.501,5.4,6.1,0.878,0.5,4,4.5,4.7,0.9,0.3,3.6,3.1,24.9,6,19,3,208,6703,1428,3352,393,1078,871,1026,99,680,721,163,55,595,635,4120,0.426,0.365,0.849,32.2,19.8,3.3,3.5,2223600
"35","deyontadavis",108,"Deyonta Davis\davisde01",123,"C",21,"MEM",62,6,15.2,2.6,4.3,0.608,0,0,NA,2.6,4.3,0.608,0.608,0.6,0.9,0.667,1.2,2.8,4,0.6,0.2,0.6,0.5,2,5.8,16,20,2,98,1181,185,312,0,0,48,75,95,310,42,18,56,40,165,418,0.593,NA,0.64,12.1,4.3,3.2,0.4,1307614
"36","domantassabonis",109,"Domantas Sabonis\sabondo01",438,"C",21,"IND",74,19,24.5,4.6,8.9,0.514,0.2,0.5,0.351,4.4,8.4,0.524,0.524,2.3,3,0.75,2.2,5.5,7.7,2,0.5,0.4,1.9,3,11.6,69,20,2,155,3442,532,1142,64,196,212,291,211,860,233,79,64,220,420,1340,0.466,0.327,0.729,22.2,8.6,5.5,1.5,2495100
"37","donovanmitchell",159,"Donovan Mitchell\mitchdo01",343,"SG",21,"UTA",79,71,33.4,7.5,17.2,0.437,2.4,7,0.34,5.2,10.3,0.502,0.506,3,3.8,0.805,0.7,3.1,3.7,3.7,1.5,0.3,2.7,2.7,20.5,75,21,1,79,2638,595,1362,187,550,239,297,52,296,291,118,27,215,213,1616,0.437,0.34,0.805,33.4,20.5,3.7,3.7,2866380
"38","dougmcdermott",7,"Doug McDermott\mcderdo01",326,"SF",26,"NYK",55,1,21.3,2.7,6,0.46,1,2.5,0.387,1.8,3.5,0.513,0.541,0.7,1,0.755,0.6,1.8,2.4,0.9,0.2,0.2,0.6,1.3,7.2,50,23,4,264,5458,793,1756,292,724,217,264,103,617,202,50,28,164,357,2095,0.452,0.403,0.822,20.7,7.9,2.3,0.8,2609109
"39","dougmcdermott",6,"Doug McDermott\mcderdo01",326,"SF",26,"TOT",81,4,21.8,2.9,6.3,0.467,1.1,2.7,0.426,1.8,3.6,0.497,0.557,0.8,1,0.79,0.5,2,2.5,1,0.2,0.2,0.7,1.5,7.8,50,23,4,264,5458,793,1756,292,724,217,264,103,617,202,50,28,164,357,2095,0.452,0.403,0.822,20.7,7.9,2.3,0.8,2609109
"40","dougmcdermott",5,"Doug McDermott\mcderdo01",326,"SF",26,"DAL",26,3,22.9,3.3,6.9,0.478,1.5,3,0.494,1.8,3.9,0.465,0.586,0.9,1.1,0.857,0.3,2.3,2.5,1.1,0.3,0.2,0.8,1.9,9,50,23,4,264,5458,793,1756,292,724,217,264,103,617,202,50,28,164,357,2095,0.452,0.403,0.822,20.7,7.9,2.3,0.8,2609109
"41","draganbender",110,"Dragan Bender\bendedr01",43,"PF",20,"PHO",82,37,25.2,2.3,5.9,0.386,1.4,3.9,0.366,0.8,2,0.426,0.508,0.5,0.6,0.765,0.5,3.9,4.4,1.6,0.3,0.6,1.4,2,6.5,6,19,2,125,2643,244,645,146,423,43,62,63,464,153,32,75,144,240,677,0.378,0.345,0.694,21.1,5.4,3.7,1.2,4372560
"42","dwaynebacon",160,"Dwayne Bacon\bacondw01",26,"SG",22,"CHO",53,6,13.5,1.4,3.6,0.375,0.2,0.8,0.256,1.2,2.8,0.409,0.404,0.4,0.5,0.8,0.1,2.3,2.3,0.7,0.3,0,0.4,0.9,3.3,8,22,1,53,713,72,192,11,43,20,25,4,124,38,16,2,23,46,175,0.375,0.256,0.8,13.5,3.3,2.3,0.7,1270792
"44","elfridpayton",10,"Elfrid Payton\paytoel01",399,"PG",23,"ORL",44,44,28.6,5.4,10.4,0.52,0.6,1.5,0.373,4.8,8.9,0.545,0.547,1.6,2.6,0.632,1.1,2.9,4,6.3,1.5,0.4,2.6,2.2,13,64,20,4,300,8854,1378,3017,111,372,485,783,337,1271,1923,402,102,726,676,3352,0.457,0.298,0.619,29.5,11.2,4.2,6.4,2712375
"45","elfridpayton",9,"Elfrid Payton\paytoel01",399,"PG",23,"TOT",63,63,28.7,5.2,10.6,0.493,0.5,1.5,0.326,4.7,9.1,0.52,0.516,1.7,2.7,0.649,1,3.3,4.3,6.2,1.3,0.3,2.7,2.3,12.7,64,20,4,300,8854,1378,3017,111,372,485,783,337,1271,1923,402,102,726,676,3352,0.457,0.298,0.619,29.5,11.2,4.2,6.4,2712375
"46","emmanuelmudiay",56,"Emmanuel Mudiay\mudiaem01",357,"PG",21,"TOT",64,14,19.5,3.2,8.2,0.388,0.7,2.3,0.318,2.5,5.9,0.415,0.433,1.5,2,0.76,0.4,2,2.4,3.2,0.6,0.2,1.8,1.3,8.6,44,19,3,187,4719,741,1982,177,558,369,505,87,562,795,147,59,453,316,2028,0.374,0.317,0.731,25.2,10.8,3,4.3,3241840
"47","emmanuelmudiay",55,"Emmanuel Mudiay\mudiaem01",357,"PG",21,"DEN",42,0,17.9,3.1,7.7,0.401,0.9,2.4,0.373,2.2,5.2,0.414,0.46,1.5,1.9,0.808,0.4,1.9,2.2,2.9,0.5,0.1,1.7,1.1,8.5,44,19,3,187,4719,741,1982,177,558,369,505,87,562,795,147,59,453,316,2028,0.374,0.317,0.731,25.2,10.8,3,4.3,3241840
"48","ericmoreland",11,"Eric Moreland\moreler01",350,"PF",26,"DET",67,3,12,1,1.8,0.541,0,0,NA,1,1.8,0.541,0.541,0.2,0.4,0.379,1.2,2.9,4.1,1.2,0.5,0.8,0.6,1.7,2.1,55,23,3,78,855,70,129,0,0,13,33,84,290,79,31,55,45,121,153,0.543,NA,0.394,11,2,3.7,1,1826300
"49","frankkaminsky",57,"Frank Kaminsky\kaminfr01",270,"PF",24,"CHO",79,4,23.2,3.9,9.1,0.429,1.3,3.5,0.38,2.6,5.6,0.459,0.501,2,2.5,0.799,0.6,3.1,3.6,1.6,0.5,0.2,0.8,1.2,11.1,32,22,3,235,5497,842,2043,288,830,381,498,172,959,389,120,96,200,360,2353,0.412,0.347,0.765,23.4,10,4.1,1.7,2730040
"50","frankmason",161,"Frank Mason\masonfr01",316,"PG",23,"SAC",52,2,18.9,2.8,7.3,0.379,0.6,1.7,0.36,2.2,5.7,0.384,0.42,1.8,2.2,0.817,0.6,1.9,2.5,2.8,0.7,0.2,1.3,1.4,7.9,69,23,1,52,984,144,380,31,86,94,115,30,130,147,34,10,65,72,413,0.379,0.36,0.817,18.9,7.9,2.5,2.8,1393716
"51","fredvanvleet",111,"Fred VanVleet\vanvlfr01",491,"PG",23,"TOR",76,0,20,3.1,7.2,0.426,1.4,3.4,0.414,1.6,3.7,0.437,0.525,1.1,1.3,0.832,0.3,2.1,2.4,3.2,0.9,0.3,1,1.7,8.6,80,22,2,113,1814,271,656,119,290,102,123,29,226,278,84,22,89,166,763,0.413,0.41,0.829,16.1,6.8,2,2.5,724360
"52","garyharris",12,"Gary Harris\harriga01",198,"SG",23,"DEN",67,65,34.4,6.6,13.6,0.485,2.3,5.9,0.396,4.2,7.7,0.553,0.57,2,2.4,0.827,0.6,2.1,2.6,2.9,1.8,0.2,1.8,1.8,17.5,34,20,4,255,7244,1185,2527,389,1049,382,476,160,638,534,329,48,331,425,3141,0.469,0.371,0.803,28.4,12.3,2.5,2.1,1828154
"53","guerschonyabusele",163,"Guerschon Yabusele\yabusgu01",531,"PF",22,"BOS",33,4,7.1,0.8,1.8,0.426,0.4,1.1,0.324,0.4,0.7,0.583,0.525,0.5,0.7,0.682,0.5,1.1,1.6,0.5,0.1,0.2,0.4,0.7,2.4,119,22,1,33,235,26,61,12,37,15,22,17,52,16,4,5,12,23,79,0.426,0.324,0.682,7.1,2.4,1.6,0.5,2457540
"54","henryellenson",112,"Henry Ellenson\ellenhe01",145,"PF",21,"DET",38,0,8.7,1.4,3.8,0.363,0.5,1.6,0.333,0.9,2.3,0.384,0.432,0.7,0.8,0.862,0.3,1.9,2.1,0.5,0.1,0,0.5,0.6,4,20,20,2,57,475,76,210,30,95,29,37,18,122,27,6,1,32,28,211,0.362,0.316,0.784,8.3,3.7,2.1,0.5,1742460
"55","isaiahtaylor",113,"Isaiah Taylor\taylois01",469,"PG",23,"ATL",67,9,17.4,2.4,5.8,0.418,0.3,1.2,0.25,2.1,4.6,0.461,0.444,1.5,2.1,0.702,0.3,1.1,1.4,3.1,0.5,0.1,1.3,1.7,6.6,75,22,2,71,1219,164,397,20,82,100,143,23,97,209,35,11,84,122,448,0.413,0.244,0.699,17.2,6.3,1.4,2.9,1000474
"56","ivanrabb",164,"Ivan Rabb\rabbiv01",419,"PF",20,"MEM",36,5,14.3,2.4,4.2,0.566,0,0,NA,2.4,4.2,0.566,0.566,0.8,1,0.806,1.5,2.9,4.4,0.9,0.3,0.4,1,1.5,5.6,95,20,1,36,516,86,152,0,0,29,36,53,158,32,12,13,35,55,201,0.566,NA,0.806,14.3,5.6,4.4,0.9,1164121
"57","ivicazubac",114,"Ivica Zubac\zubaciv01",540,"C",20,"LAL",43,0,9.5,1.4,2.8,0.5,0,0,0,1.4,2.8,0.504,0.5,0.9,1.2,0.765,1,1.8,2.9,0.6,0.2,0.3,0.6,1.1,3.7,88,19,2,81,1019,187,360,0,4,71,100,86,282,55,22,48,56,113,445,0.519,0,0.71,12.6,5.5,3.5,0.7,1081529
"58","jabariparker",13,"Jabari Parker\parkeja01",390,"PF",22,"MIL",31,3,24,5.2,10.7,0.482,1,2.6,0.383,4.2,8.1,0.514,0.529,1.3,1.7,0.741,1.4,3.5,4.9,1.9,0.8,0.3,1.5,1.6,12.6,62,19,4,183,5617,1131,2308,109,310,423,566,294,998,373,175,66,301,357,2794,0.49,0.352,0.747,30.7,15.3,5.5,2,7413237
"59","jahlilokafor",58,"Jahlil Okafor\okafoja01",381,"C",22,"BRK",26,0,12.6,2.8,5,0.566,0,0.2,0.25,2.8,4.8,0.576,0.57,0.7,1,0.76,0.7,2.3,2.9,0.4,0.1,0.6,0.7,1.7,6.4,49,20,3,131,3078,716,1390,2,10,260,381,224,698,135,45,128,236,313,1694,0.515,0.2,0.682,23.5,12.9,5.3,1,4788880
"60","jahlilokafor",59,"Jahlil Okafor\okafoja01",381,"C",22,"TOT",28,0,12.6,2.8,4.9,0.558,0,0.1,0.25,2.7,4.8,0.567,0.562,0.8,1,0.724,0.8,2.3,3,0.4,0.1,0.6,0.8,1.8,6.3,49,20,3,131,3078,716,1390,2,10,260,381,224,698,135,45,128,236,313,1694,0.515,0.2,0.682,23.5,12.9,5.3,1,4788880
"61","jakelayman",115,"Jake Layman\laymaja01",287,"SF",23,"POR",35,1,4.6,0.4,1.3,0.298,0.1,0.6,0.2,0.3,0.8,0.37,0.34,0.1,0.1,0.667,0.1,0.3,0.5,0.3,0.2,0.1,0.1,0.4,1,46,22,2,70,409,40,136,17,71,15,20,10,40,22,15,7,16,35,112,0.294,0.239,0.75,5.8,1.6,0.6,0.3,851837
"62","jakobpoeltl",116,"Jakob Poeltl\poeltja01",407,"C",22,"TOR",82,0,18.6,3.1,4.7,0.659,0,0,0.5,3.1,4.7,0.66,0.66,0.7,1.2,0.594,2,2.8,4.8,0.7,0.5,1.2,1,2.6,6.9,64,21,2,136,2150,320,499,1,2,91,158,243,558,69,56,120,114,325,732,0.641,0.5,0.576,15.8,5.4,4.1,0.5,2764800
"63","jamalmurray",117,"Jamal Murray\murraja01",361,"PG",20,"DEN",81,80,31.7,5.9,13.1,0.451,2,5.4,0.378,3.9,7.7,0.502,0.529,2.8,3.1,0.905,1,2.7,3.7,3.4,1,0.3,2.1,2.1,16.7,55,19,2,163,4329,774,1792,280,780,335,373,123,511,444,130,52,285,297,2163,0.432,0.359,0.898,26.6,13.3,3.1,2.7,3355320
"64","jamesennis",14,"James Ennis\ennisja01",148,"SF",27,"TOT",72,22,22.3,2.5,5.3,0.474,0.7,2.1,0.333,1.8,3.2,0.567,0.54,1.3,1.6,0.836,1,2.1,3.1,1,0.7,0.3,0.8,1.9,7.1,23,24,4,220,4485,483,1065,159,443,287,354,214,701,204,134,59,173,416,1412,0.454,0.359,0.811,20.4,6.4,3.2,0.9,2963205
"65","jamesennis",16,"James Ennis\ennisja01",148,"SF",27,"MEM",45,14,23.4,2.4,4.9,0.486,0.7,1.9,0.357,1.7,3.1,0.565,0.554,1.4,1.6,0.877,1.2,2.3,3.5,1.1,0.7,0.3,0.8,1.8,6.9,23,24,4,220,4485,483,1065,159,443,287,354,214,701,204,134,59,173,416,1412,0.454,0.359,0.811,20.4,6.4,3.2,0.9,2963205
"66","jamesennis",15,"James Ennis\ennisja01",148,"SF",27,"DET",27,8,20.4,2.7,6,0.457,0.8,2.6,0.304,2,3.4,0.57,0.522,1.2,1.6,0.767,0.7,1.7,2.5,0.8,0.6,0.2,0.7,2,7.5,23,24,4,220,4485,483,1065,159,443,287,354,214,701,204,134,59,173,416,1412,0.454,0.359,0.811,20.4,6.4,3.2,0.9,2963205
"68","jarellmartin",60,"Jarell Martin\martija01",315,"PF",23,"MEM",73,36,22.8,3,6.8,0.446,0.5,1.3,0.347,2.6,5.5,0.47,0.48,1.2,1.6,0.767,1.3,3,4.4,1,0.5,0.7,1.2,2.9,7.7,37,21,3,142,2599,333,763,43,125,174,228,178,566,96,64,65,133,360,883,0.436,0.344,0.763,18.3,6.2,4,0.7,1286200
"69","jawunevans",166,"Jawun Evans\evansja01",150,"PG",21,"LAC",48,4,16.2,1.9,5.3,0.352,0.3,1.1,0.278,1.5,4.1,0.372,0.381,0.8,1,0.776,0.2,1.6,1.8,2.1,0.8,0.1,0.9,2,4.8,34,21,1,48,778,89,253,15,54,38,49,9,84,100,36,6,44,97,231,0.352,0.278,0.776,16.2,4.8,1.8,2.1,1096929
"70","jaylenbrown",118,"Jaylen Brown\brownja02",70,"SG",21,"BOS",70,70,30.7,5.3,11.5,0.465,1.7,4.4,0.395,3.6,7.1,0.507,0.54,2.1,3.3,0.644,0.9,4,4.9,1.6,1,0.4,1.8,2.6,14.5,11,20,2,148,3493,565,1226,167,441,235,357,111,566,178,105,44,192,323,1532,0.461,0.379,0.658,23.6,10.4,3.8,1.2,4849740
"71","jaysontatum",167,"Jayson Tatum\tatumja01",468,"SF",19,"BOS",80,80,30.5,5,10.4,0.475,1.3,3,0.434,3.7,7.4,0.492,0.538,2.7,3.2,0.826,0.6,4.4,5,1.6,1,0.7,1.4,2.1,13.9,104,19,1,80,2438,397,835,105,242,213,258,50,402,128,83,58,114,170,1112,0.475,0.434,0.826,30.5,13.9,5,1.6,6173100
"72","jeramigrant",18,"Jerami Grant\grantje01",183,"PF",23,"OKC",81,1,20.3,3,5.6,0.535,0.4,1.4,0.291,2.6,4.3,0.613,0.57,2,3,0.675,1.1,2.9,3.9,0.7,0.4,1,0.7,1.9,8.4,30,20,4,303,6621,771,1735,159,528,578,902,272,1083,317,158,351,293,664,2279,0.444,0.301,0.641,21.9,7.5,3.6,1,903456
