Player,Tm,Pos,G,GS,MP,FG,FGA,FG%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jason Smith\smithja02,WAS,C,33,2,8.6,1.4,3.5,0.391,0.409,0.6,0.6,0.905,0.5,1.1,1.6,0.4,0.1,0.4,0.5,1.3,3.4,8.8,0.455,0.183,7.2,13.9,10.5,7.4,0.5,4.0,11.4,21.7,-0.2,0.3,0.0,0.003,-4.8,-1.1,-6.0,-0.3
Tony Snell\snellto01,MIL,SG,75,59,27.4,2.5,5.7,0.435,0.562,0.5,0.6,0.792,0.1,1.8,1.9,1.3,0.6,0.4,0.5,1.5,6.9,8.5,0.578,0.113,0.5,7.5,4.0,6.5,1.1,1.2,7.5,10.6,1.6,0.7,2.4,0.055999999999999994,-0.5,-1.3,-1.8,0.1
Marreese Speights\speigma01,ORL,C,52,3,13.0,2.7,6.7,0.395,0.519,0.8,1.1,0.727,0.4,2.2,2.6,0.8,0.2,0.4,0.8,2.1,7.7,13.7,0.539,0.158,3.4,18.4,10.8,9.8,0.6,2.6,9.7,26.9,0.1,0.5,0.6,0.045,0.2,-2.9,-2.8,-0.1
Nik Stauskas\stausni01,TOT,SG,41,0,12.8,1.5,3.8,0.39,0.519,0.5,0.7,0.7240000000000001,0.1,1.5,1.6,1.0,0.2,0.1,0.6,0.6,4.4,9.0,0.5429999999999999,0.188,0.8,12.3,6.5,11.1,0.8,0.6,13.5,15.9,0.1,0.3,0.3,0.031,-2.1,-1.8,-4.0,-0.3
Lance Stephenson\stephla01,IND,SG,82,7,22.6,3.7,8.6,0.42700000000000005,0.475,1.0,1.5,0.6609999999999999,0.8,4.4,5.2,2.9,0.6,0.2,1.6,2.2,9.2,12.4,0.495,0.179,3.8,22.0,12.9,18.6,1.2,0.8,14.7,21.6,-0.3,2.0,1.8,0.045,-2.0,-0.1,-2.1,0.0
Caleb Swanigan\swanica01,POR,PF,27,3,7.0,0.9,2.2,0.4,0.408,0.4,0.7,0.667,0.6,1.4,2.0,0.5,0.2,0.1,0.7,1.4,2.3,7.5,0.449,0.3,8.7,22.3,15.6,10.8,1.3,1.3,20.9,20.0,-0.3,0.3,0.0,-0.003,-6.0,0.6,-5.4,-0.2
Jayson Tatum\tatumja01,BOS,SF,80,80,30.5,5.0,10.4,0.475,0.5379999999999999,2.7,3.2,0.826,0.6,4.4,5.0,1.6,1.0,0.7,1.4,2.1,13.9,15.3,0.586,0.309,2.3,15.6,9.0,8.3,1.7,2.0,10.7,19.5,3.0,4.0,7.1,0.139,-0.5,1.5,1.0,1.8
Isaiah Taylor\taylois01,ATL,PG,67,9,17.4,2.4,5.8,0.418,0.444,1.5,2.1,0.7020000000000001,0.3,1.1,1.4,3.1,0.5,0.1,1.3,1.7,6.6,10.9,0.49200000000000005,0.36200000000000004,2.1,6.9,4.5,27.0,1.4,0.7,15.7,20.1,0.2,0.5,0.6,0.027000000000000003,-2.9,-2.5,-5.4,-1.0
Jeff Teague\teaguje01,MIN,PG,70,70,33.0,5.1,11.3,0.446,0.499,2.9,3.4,0.845,0.3,2.6,3.0,7.0,1.5,0.3,2.5,2.4,14.2,16.4,0.5529999999999999,0.301,1.2,9.3,5.2,30.6,2.2,0.8,16.4,20.6,3.4,1.4,4.9,0.10099999999999999,1.5,-1.3,0.2,1.3
Garrett Temple\templga01,SAC,SG,65,35,24.8,3.1,7.3,0.418,0.512,0.9,1.2,0.769,0.3,2.0,2.3,1.9,0.9,0.4,1.2,2.1,8.4,10.2,0.536,0.16399999999999998,1.5,9.6,5.4,11.3,1.8,1.6,13.4,16.4,0.3,0.9,1.2,0.035,-1.3,-0.6,-1.9,0.1
