"","fix","X1","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1","average salary"
"32","domantassabonis",61,"Domantas Sabonis\sabondo01",438,"C",21,"IND",74,19,24.5,4.6,8.9,0.514,0.2,0.5,0.351,4.4,8.4,0.524,0.524,2.3,3,0.75,2.2,5.5,7.7,2,0.5,0.4,1.9,3,11.6,69,20,2,155,3442,532,1142,64,196,212,291,211,860,233,79,64,220,420,1340,0.466,0.327,0.729,22.2,8.6,5.5,1.5,2495100
"33","donovanmitchell",111,"Donovan Mitchell\mitchdo01",343,"SG",21,"UTA",79,71,33.4,7.5,17.2,0.437,2.4,7,0.34,5.2,10.3,0.502,0.506,3,3.8,0.805,0.7,3.1,3.7,3.7,1.5,0.3,2.7,2.7,20.5,75,21,1,79,2638,595,1362,187,550,239,297,52,296,291,118,27,215,213,1616,0.437,0.34,0.805,33.4,20.5,3.7,3.7,2866380
"34","draganbender",62,"Dragan Bender\bendedr01",43,"PF",20,"PHO",82,37,25.2,2.3,5.9,0.386,1.4,3.9,0.366,0.8,2,0.426,0.508,0.5,0.6,0.765,0.5,3.9,4.4,1.6,0.3,0.6,1.4,2,6.5,6,19,2,125,2643,244,645,146,423,43,62,63,464,153,32,75,144,240,677,0.378,0.345,0.694,21.1,5.4,3.7,1.2,4372560
"35","dwaynebacon",112,"Dwayne Bacon\bacondw01",26,"SG",22,"CHO",53,6,13.5,1.4,3.6,0.375,0.2,0.8,0.256,1.2,2.8,0.409,0.404,0.4,0.5,0.8,0.1,2.3,2.3,0.7,0.3,0,0.4,0.9,3.3,8,22,1,53,713,72,192,11,43,20,25,4,124,38,16,2,23,46,175,0.375,0.256,0.8,13.5,3.3,2.3,0.7,1270792
"36","emmanuelmudiay",8,"Emmanuel Mudiay\mudiaem01",357,"PG",21,"TOT",64,14,19.5,3.2,8.2,0.388,0.7,2.3,0.318,2.5,5.9,0.415,0.433,1.5,2,0.76,0.4,2,2.4,3.2,0.6,0.2,1.8,1.3,8.6,44,19,3,187,4719,741,1982,177,558,369,505,87,562,795,147,59,453,316,2028,0.374,0.317,0.731,25.2,10.8,3,4.3,3241840
"37","emmanuelmudiay",7,"Emmanuel Mudiay\mudiaem01",357,"PG",21,"DEN",42,0,17.9,3.1,7.7,0.401,0.9,2.4,0.373,2.2,5.2,0.414,0.46,1.5,1.9,0.808,0.4,1.9,2.2,2.9,0.5,0.1,1.7,1.1,8.5,44,19,3,187,4719,741,1982,177,558,369,505,87,562,795,147,59,453,316,2028,0.374,0.317,0.731,25.2,10.8,3,4.3,3241840
"38","frankkaminsky",9,"Frank Kaminsky\kaminfr01",270,"PF",24,"CHO",79,4,23.2,3.9,9.1,0.429,1.3,3.5,0.38,2.6,5.6,0.459,0.501,2,2.5,0.799,0.6,3.1,3.6,1.6,0.5,0.2,0.8,1.2,11.1,32,22,3,235,5497,842,2043,288,830,381,498,172,959,389,120,96,200,360,2353,0.412,0.347,0.765,23.4,10,4.1,1.7,2730040
"39","frankmason",113,"Frank Mason\masonfr01",316,"PG",23,"SAC",52,2,18.9,2.8,7.3,0.379,0.6,1.7,0.36,2.2,5.7,0.384,0.42,1.8,2.2,0.817,0.6,1.9,2.5,2.8,0.7,0.2,1.3,1.4,7.9,69,23,1,52,984,144,380,31,86,94,115,30,130,147,34,10,65,72,413,0.379,0.36,0.817,18.9,7.9,2.5,2.8,1393716
"40","fredvanvleet",63,"Fred VanVleet\vanvlfr01",491,"PG",23,"TOR",76,0,20,3.1,7.2,0.426,1.4,3.4,0.414,1.6,3.7,0.437,0.525,1.1,1.3,0.832,0.3,2.1,2.4,3.2,0.9,0.3,1,1.7,8.6,80,22,2,113,1814,271,656,119,290,102,123,29,226,278,84,22,89,166,763,0.413,0.41,0.829,16.1,6.8,2,2.5,724360
"41","guerschonyabusele",115,"Guerschon Yabusele\yabusgu01",531,"PF",22,"BOS",33,4,7.1,0.8,1.8,0.426,0.4,1.1,0.324,0.4,0.7,0.583,0.525,0.5,0.7,0.682,0.5,1.1,1.6,0.5,0.1,0.2,0.4,0.7,2.4,119,22,1,33,235,26,61,12,37,15,22,17,52,16,4,5,12,23,79,0.426,0.324,0.682,7.1,2.4,1.6,0.5,2457540
"42","henryellenson",64,"Henry Ellenson\ellenhe01",145,"PF",21,"DET",38,0,8.7,1.4,3.8,0.363,0.5,1.6,0.333,0.9,2.3,0.384,0.432,0.7,0.8,0.862,0.3,1.9,2.1,0.5,0.1,0,0.5,0.6,4,20,20,2,57,475,76,210,30,95,29,37,18,122,27,6,1,32,28,211,0.362,0.316,0.784,8.3,3.7,2.1,0.5,1742460
"43","isaiahtaylor",65,"Isaiah Taylor\taylois01",469,"PG",23,"ATL",67,9,17.4,2.4,5.8,0.418,0.3,1.2,0.25,2.1,4.6,0.461,0.444,1.5,2.1,0.702,0.3,1.1,1.4,3.1,0.5,0.1,1.3,1.7,6.6,75,22,2,71,1219,164,397,20,82,100,143,23,97,209,35,11,84,122,448,0.413,0.244,0.699,17.2,6.3,1.4,2.9,1000474
"44","ivanrabb",116,"Ivan Rabb\rabbiv01",419,"PF",20,"MEM",36,5,14.3,2.4,4.2,0.566,0,0,NA,2.4,4.2,0.566,0.566,0.8,1,0.806,1.5,2.9,4.4,0.9,0.3,0.4,1,1.5,5.6,95,20,1,36,516,86,152,0,0,29,36,53,158,32,12,13,35,55,201,0.566,NA,0.806,14.3,5.6,4.4,0.9,1164121
"45","ivicazubac",66,"Ivica Zubac\zubaciv01",540,"C",20,"LAL",43,0,9.5,1.4,2.8,0.5,0,0,0,1.4,2.8,0.504,0.5,0.9,1.2,0.765,1,1.8,2.9,0.6,0.2,0.3,0.6,1.1,3.7,88,19,2,81,1019,187,360,0,4,71,100,86,282,55,22,48,56,113,445,0.519,0,0.71,12.6,5.5,3.5,0.7,1081529
"46","jahlilokafor",10,"Jahlil Okafor\okafoja01",381,"C",22,"BRK",26,0,12.6,2.8,5,0.566,0,0.2,0.25,2.8,4.8,0.576,0.57,0.7,1,0.76,0.7,2.3,2.9,0.4,0.1,0.6,0.7,1.7,6.4,49,20,3,131,3078,716,1390,2,10,260,381,224,698,135,45,128,236,313,1694,0.515,0.2,0.682,23.5,12.9,5.3,1,4788880
"47","jahlilokafor",11,"Jahlil Okafor\okafoja01",381,"C",22,"TOT",28,0,12.6,2.8,4.9,0.558,0,0.1,0.25,2.7,4.8,0.567,0.562,0.8,1,0.724,0.8,2.3,3,0.4,0.1,0.6,0.8,1.8,6.3,49,20,3,131,3078,716,1390,2,10,260,381,224,698,135,45,128,236,313,1694,0.515,0.2,0.682,23.5,12.9,5.3,1,4788880
"48","jakelayman",67,"Jake Layman\laymaja01",287,"SF",23,"POR",35,1,4.6,0.4,1.3,0.298,0.1,0.6,0.2,0.3,0.8,0.37,0.34,0.1,0.1,0.667,0.1,0.3,0.5,0.3,0.2,0.1,0.1,0.4,1,46,22,2,70,409,40,136,17,71,15,20,10,40,22,15,7,16,35,112,0.294,0.239,0.75,5.8,1.6,0.6,0.3,851837
"49","jakobpoeltl",68,"Jakob Poeltl\poeltja01",407,"C",22,"TOR",82,0,18.6,3.1,4.7,0.659,0,0,0.5,3.1,4.7,0.66,0.66,0.7,1.2,0.594,2,2.8,4.8,0.7,0.5,1.2,1,2.6,6.9,64,21,2,136,2150,320,499,1,2,91,158,243,558,69,56,120,114,325,732,0.641,0.5,0.576,15.8,5.4,4.1,0.5,2764800
"50","jamalmurray",69,"Jamal Murray\murraja01",361,"PG",20,"DEN",81,80,31.7,5.9,13.1,0.451,2,5.4,0.378,3.9,7.7,0.502,0.529,2.8,3.1,0.905,1,2.7,3.7,3.4,1,0.3,2.1,2.1,16.7,55,19,2,163,4329,774,1792,280,780,335,373,123,511,444,130,52,285,297,2163,0.432,0.359,0.898,26.6,13.3,3.1,2.7,3355320
"51","jarellmartin",12,"Jarell Martin\martija01",315,"PF",23,"MEM",73,36,22.8,3,6.8,0.446,0.5,1.3,0.347,2.6,5.5,0.47,0.48,1.2,1.6,0.767,1.3,3,4.4,1,0.5,0.7,1.2,2.9,7.7,37,21,3,142,2599,333,763,43,125,174,228,178,566,96,64,65,133,360,883,0.436,0.344,0.763,18.3,6.2,4,0.7,1286200
"52","jawunevans",118,"Jawun Evans\evansja01",150,"PG",21,"LAC",48,4,16.2,1.9,5.3,0.352,0.3,1.1,0.278,1.5,4.1,0.372,0.381,0.8,1,0.776,0.2,1.6,1.8,2.1,0.8,0.1,0.9,2,4.8,34,21,1,48,778,89,253,15,54,38,49,9,84,100,36,6,44,97,231,0.352,0.278,0.776,16.2,4.8,1.8,2.1,1096929
"53","jaylenbrown",70,"Jaylen Brown\brownja02",70,"SG",21,"BOS",70,70,30.7,5.3,11.5,0.465,1.7,4.4,0.395,3.6,7.1,0.507,0.54,2.1,3.3,0.644,0.9,4,4.9,1.6,1,0.4,1.8,2.6,14.5,11,20,2,148,3493,565,1226,167,441,235,357,111,566,178,105,44,192,323,1532,0.461,0.379,0.658,23.6,10.4,3.8,1.2,4849740
"54","jaysontatum",119,"Jayson Tatum\tatumja01",468,"SF",19,"BOS",80,80,30.5,5,10.4,0.475,1.3,3,0.434,3.7,7.4,0.492,0.538,2.7,3.2,0.826,0.6,4.4,5,1.6,1,0.7,1.4,2.1,13.9,104,19,1,80,2438,397,835,105,242,213,258,50,402,128,83,58,114,170,1112,0.475,0.434,0.826,30.5,13.9,5,1.6,6173100
"55","jeriangrant",13,"Jerian Grant\grantje02",184,"PG",25,"CHI",74,26,22.8,2.8,6.8,0.415,0.8,2.5,0.324,2,4.3,0.468,0.475,1.9,2.5,0.745,0.4,1.9,2.3,4.6,0.9,0.1,1.2,1.8,8.4,18,23,3,213,3979,491,1196,132,422,301,384,71,426,640,160,26,220,322,1415,0.411,0.313,0.784,18.7,6.6,2,3,1643080
"56","joelembiid",71,"Joel Embiid\embiijo01",147,"C",23,"PHI",63,63,30.3,8.1,16.8,0.483,1,3.4,0.308,7,13.4,0.527,0.514,5.7,7.4,0.769,2.3,8.7,11,3.2,0.6,1.8,3.7,3.3,22.9,21,22,2,94,2698,710,1485,102,312,550,711,204,933,265,67,187,351,321,2072,0.478,0.327,0.774,28.7,22,9.9,2.8,4995257
"57","johncollins",120,"John Collins\collijo01",101,"PF",20,"ATL",74,26,24.1,4.2,7.4,0.576,0.2,0.6,0.34,4,6.7,0.598,0.591,1.8,2.5,0.715,2.4,4.9,7.3,1.3,0.6,1.1,1.4,2.9,10.5,24,20,1,74,1785,314,545,16,47,133,186,176,541,98,47,80,105,215,777,0.576,0.34,0.715,24.1,10.5,7.3,1.3,2118000
"58","jonathanisaac",121,"Jonathan Isaac\isaacjo01",240,"PF",20,"ORL",27,10,19.9,2,5.4,0.379,0.6,1.7,0.348,1.4,3.7,0.394,0.434,0.7,0.9,0.76,0.6,3.1,3.7,0.7,1.2,1.1,1,1.8,5.4,49,20,1,27,536,55,145,16,46,19,25,16,99,18,33,30,27,48,145,0.379,0.348,0.76,19.9,5.4,3.7,0.7,4577700
"59","jonathonsimmons",15,"Jonathon Simmons\simmojo02",451,"SG",28,"ORL",69,50,29.4,5.1,11,0.465,1,3,0.338,4.1,8.1,0.512,0.511,2.7,3.5,0.768,0.9,2.6,3.5,2.5,0.8,0.2,2.1,2.5,13.9,61,26,3,202,4234,653,1424,117,353,353,465,97,495,355,129,46,275,424,1776,0.459,0.331,0.759,21,8.8,2.5,1.8,6666667
